site_id,name,account_id,status,size,installation_date,pto_date,address,city,state,zip,timezone,latitude,longitude,owner_id,fetch_id
518,Grey Residence,,,5.04,8/26/10,,,Sherborn,MA,1770,America/New_York,42.2583,-71.3769,,Grey
519,Bissett Residence,,,3.6,8/27/10,,,Northborough,MA,1532,America/New_York,42.3483,-71.6774,,Bissett
521,Prozeller Residence,,,5.04,12/10/10,,,Pepperell,MA,1463,America/New_York,42.6659,-71.5884,,Prozeller
522,Boucher Residence - Gardner,,,5.04,9/2/10,,,Gardner,MA,1440,America/New_York,42.5775,-71.9961,,Boucher
529,Barshak Residence,,,5.04,9/16/10,,,Bolton,MA,1740,America/New_York,42.4118,-71.5776,,Barshak
530,Noyes School,,,2.94,10/9/10,,280 Old Sudbury Road,Sudbury,MA,1776,America/New_York,42.3819,-71.4103,,Noyes
545,Chelmsford 3G - Crooked Spring Water Treatment,,,,4/6/11,,50 Doak Dr.,Chelmsford,MA,1824,America/New_York,42.5998,-71.3673,,
546,"National Grid - Everett, MA 3",,,,2/22/11,,,Everett,MA,2149,America/New_York,42.4117,-71.0724,,National
558,SED - Honey Hill Farms,,,,11/11/10,,89 Hayden Rowe St.,Hopkinton,MA,1748,America/New_York,42.2187,-71.5157,,SED
561,Falmouth Academy,,,76.59,11/22/10,,,Falmouth,MA,2540,America/New_York,41.5598,-70.624,,
564,Meichelbeck Residence,,,9.72,11/30/10,,,Grafton,MA,1568,America/New_York,42.22,-71.6445,,Meichelbeck
567,DCS 180,,,,9/30/10,,,Moodus,CT,6469,America/New_York,41.5089,-72.4436,,
569,DCS 201,,,,11/16/10,,,Mansfield,CT,6426,America/New_York,41.4848,-72.267,,
570,DCS 202,,,,10/7/10,,,Bristol,CT,6010,America/New_York,41.6751,-72.9224,,
571,DCS 191,,,,10/3/10,,,Lebanon,CT,6249,America/New_York,41.6418,-72.2127,,
574,DCS 198,,,,10/15/10,,,Salem,CT,6420,America/New_York,41.4945,-72.2601,,
576,DCS 200,,,,9/24/10,,,Salem,CT,6420,America/New_York,41.4945,-72.2601,,
585,Precise Packaging,,,112.32,8/1/11,,927 Currant Rd,Fall river,MA,2720,America/New_York,41.7406,-71.1073,,Precise
614,Boston Water and Sewer Commission (BWSC),,,,10/30/10,,924 Harrison Ave.,Boston,MA,2118,America/New_York,42.3584,-71.0598,,
630,Senie Residence,,,3.33,8/22/11,,,Bolton,MA,1740,America/New_York,42.4334,-71.6078,,Senie
631,DCS 205,,,,11/3/10,,,Lebanon,CT,6249,America/New_York,41.6418,-72.2127,,
632,DCS 211,,,,11/19/10,,,South woodstock,CT,6267,America/New_York,41.9379,-71.9595,,
637,Wright Hay Barn,,,,11/18/11,,,Ashbernham,MA,1430,America/New_York,42.6355,-71.9097,,
643,Old Colony Vocational School,,,,3/15/11,,476 North Ave,Rochester,MA,2770,America/New_York,41.7873,-70.8744,,
644,Fuhro Residence,,,2.88,11/19/10,,,Natick,MA,1760,America/New_York,42.2871,-71.3592,,Fuhro
645,Rose's Automotive,,,,9/12/11,,26 North Main St.,Sherborn,MA,1770,America/New_York,42.2468,-71.3687,,
647,Beale Residence,,,6.48,12/8/10,,,Harvard,MA,1415,America/New_York,42.5523,-71.5726,,Beale
655,Great Oak Middle School,,,76.05,12/16/10,,50 Great Oak Rd.,Oxford,CT,6478,America/New_York,41.4233,-73.1402,,Great
669,Hill Residence,,,5.18,4/19/11,,,Grafton,MA,1519,America/New_York,42.1993,-71.6792,,Hill
682,"National Grid - Everett, MA",,,594.44,2/22/11,,,Everett,MA,2149,America/New_York,42.4117,-71.0724,,National
694,Brownsberger Residence,,,4.62,1/7/11,,,Belmont,MA,,America/New_York,42.3959,-71.1787,,Brownsberger
695,Boston BioProducts,,,,12/21/10,,159 Chestnut St.,Ashland,MA,1721,America/New_York,42.2611,-71.4639,,
704,DCS 262,,,,10/19/10,,,Colchester,CT,6415,America/New_York,41.5757,-72.332,,
706,DCS 250,,,,1/13/11,,,East granby,CT,6026,America/New_York,41.9543,-72.3023,,
708,McHenry County Administration Building,,,,12/3/10,,2200 N. Seminary Ave.,Woodstock,IL,60098,America/Chicago,42.3147,-88.4487,,McHenry
715,"National Grid - Revere, MA",,,739.2,12/21/10,,24 Railroad Ave.,Revere,MA,2151,America/New_York,42.4191,-71.0086,,National
716,National Grid - Haverhill,,,1016.4,12/29/10,,89 Hilldale Ave.,Haverhill,MA,1832,America/New_York,42.7952,-71.0576,,National
726,Edna C. Stevens Elementary School,,,184.8,1/6/11,,25 Court Street,Cromwell,CT,6416,America/New_York,41.62,-72.6583,,Edna
744,Weiss - Aug,,,,7/19/11,,220 Merry Lane,East hanover,NJ,7936,America/New_York,40.8193,-74.3457,,
761,Hildreth Elementary School,,,,12/1/12,,27 Mass Ave,Harvard,MA,1451,America/New_York,42.4972,-71.5826,,
788,Santos Residence,,,5.04,4/19/11,,,Southbridge,MA,,America/New_York,42.0751,-72.0334,,Santos
791,Westborough Solar Farm,,,240.24,2/18/11,,113 Milk St,Westborough,MA,,America/New_York,42.2752,-71.6229,,Westborough
806,Planet Subaru,,,78.75,3/28/11,,596 Washington Street,Hanover,MA,2339,America/New_York,42.1223,-70.8251,,
812,"National Grid - Revere, MA 2",,,,12/21/10,,,Revere,MA,2151,America/New_York,42.4191,-71.0086,,National
820,Scofield Magnet School,,,,1/8/11,,641 Scofieldtown Road,Stamford,CT,6901,America/New_York,41.1404,-73.5564,,
843,Brooks School,,,80,3/29/11,,,North andover,MA,1845,America/New_York,42.6696,-71.0854,,Brooks
853,"National Grid - Everett, MA 2",,,,2/22/11,,,Everett,MA,2149,America/New_York,42.4117,-71.0724,,National
860,,,,40.32,4/13/11,,2940 Highway 21 S.,Rincon,GA,31326,America/New_York,32.296,-81.2354,,Effingham
862,Leblanc Residence - Ashburnham,,,9.4,4/26/11,,,Ashburnham,MA,1430,America/New_York,42.6682,-71.9283,,Leblanc
863,Wright Residence - Ashburnham,,,9.4,5/2/11,,,Ashburnham,MA,1430,America/New_York,42.6682,-71.9283,,Wright
864,Lewin-Berlin Residence,,,5.92,4/24/11,,,Acton,MA,1720,America/New_York,42.4836,-71.4418,,Lewin_Berlin
866,GE Sensing,,,,9/15/11,,1100 Technology Park Dr,Billerica,MA,1821,America/New_York,42.5465,-71.2518,,
867,Zglobicki Residence,,,,11/22/10,,,Rutland,MA,,America/New_York,42.3695,-71.9481,,Zglobicki
870,Shander-Reynolds,,,,4/22/11,,,Ashland,MA,,America/New_York,42.2611,-71.4639,,Shander_Reynolds
871,National Grid - Haverhill 2,,,1016.4,12/29/10,,,Haverhill,MA,1830,America/New_York,42.7762,-71.0773,,National
880,Cromwell Middle School,,,166.38,4/28/11,,6 Mann Memorial Dr.,Cromwell,CT,6416,America/New_York,41.6275,-72.6562,,Cromwell
895,National Grid - Haverhill 3,,,1016.4,12/29/10,,,Haverhill,MA,1830,America/New_York,42.7762,-71.0773,,National
918,Dedham High School,,,121.26,5/24/11,,140 Whiting Ave.,Dedham,MA,2026,America/New_York,42.2418,-71.1662,,Dedham
919,Precise Packaging Inc.,,,278.88,5/24/11,,1140 Airport Rd.,Fall river,MA,2720,America/New_York,41.7469,-71.1106,,
920,Clarke Distribution Corporation,,,460.8,8/5/11,,393 Fortune Blvd.,Milford,MA,1757,America/New_York,42.1398,-71.5162,,
935,Erb Residence,,,,6/6/11,,,Leominster,MA,1453,America/New_York,42.5251,-71.7598,,Erb
948,Saxonville Mill,,,500.9,6/16/11,,2 Central St.,Framingham,MA,10702,America/New_York,42.3251,-71.4001,,Saxonville
977,,,,57.33,7/18/11,,1 Wellington Rd.,Lincoln,RI,2865,America/New_York,41.911,-71.4418,,GEM
979,"JEM Electronics, Inc.",,,206.08,7/21/11,,23 National Dr.,Franklin,MA,2038,America/New_York,42.0834,-71.3967,,JEM
988,Hope School District,,,234,8/4/11,,,Santa barbara,CA,93101,America/Los_Angeles,34.4447,-119.754,,Hope
1011,Barnstable - WPCF,,,,8/12/11,,617 Bearses Way,Hyannis,MA,2601,America/New_York,41.701,-70.3063,,
1015,Mangeolle Residence,,,5.4,8/25/11,,,Acton,MA,1720,America/New_York,42.485,-71.4333,,Mangeolle
1017,Williams Residence,,,8.88,8/26/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Williams
1018,Lussier Residence,,,9.99,8/29/11,,,Rutland,MA,1543,America/New_York,42.3694,-71.9486,,Lussier
1028,Hi-Gear,,,,8/26/11,,640 Crawford St.,Fitchburg,MA,1420,America/New_York,42.5561,-71.7531,,
1036,St Cyr Residence,,,4.73,9/7/11,,,Ashburham,MA,1430,America/New_York,42.6682,-71.9283,,St
1037,Tonge Residence,,,6.66,9/29/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Tonge
1049,126 Self Storage - 481kW,,,480.7,8/16/11,,162 Pond Street,Ashland,MA,1721,America/New_York,42.2493,-71.4284,,126
1053,Hogan Residence,,,7.04,9/14/11,,,Northboro,MA,1532,America/New_York,42.3289,-71.6555,,Hogan
1068,Landeryou Residence,,,5.18,9/27/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Landeryou
1069,Clark Residence - Harvard,,,3.33,9/27/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Clark
1070,Tuttle Residence,,,2.59,9/27/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Tuttle
1071,Aciukewicz Residence,,,3.7,9/27/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Aciukewicz
1075,M Taylor Residence,,,5,9/29/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,M
1076,Basile Residence,,,7.77,9/29/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Basile
1077,Marder PV,,,5.92,9/29/11,,224 Still River Rd.,Harvard,MA,1467,America/New_York,42.4923,-71.6173,,Marder
1093,Smyrna LLC / Rutherford County Airport,,,996.22,12/22/11,,278 Doug Warpoole Rd.,Smyrna,TN,37167,America/Chicago,35.9828,-86.5186,,Smyrna
1097,EMD Serono Research Center,,,10.08,10/12/11,,45A Middlesex Tpke.,Billerica,MA,1821,America/New_York,42.5281,-71.2572,,EMD
1103,Eddy Residence,,,9.24,10/13/11,,,Ashbernham,MA,1430,America/New_York,42.6355,-71.9097,,Eddy
1113,Arbors at Baltimore Crossroads,,,,10/17/11,,11550 Crossroads Circle,Baltimore,MD,21220,America/New_York,39.3515,-76.3753,,Arbors
1126,Victoria Riverside LLC,,,198,10/24/11,,10 Manomet St,New bedford,MA,2740,America/New_York,41.6382,-70.9368,,Victoria
1130,Upper Blackstone Water Pollution Abatement District,,,,8/22/12,,50 Route 20,Millbury,MA,1527,America/New_York,42.7015,-71.1249,,
1135,National Grid - Dorchester,,,,12/19/11,,220 Victory Rd.,Dorchester,MA,2122,America/New_York,42.2905,-71.0415,,National
1138,Chigas Residence,,,,11/1/11,,,Acton,MA,1720,America/New_York,42.485,-71.4333,,
1163,OMA Group,,,997.92,7/24/12,,157 Worcester Rd,Charlton,MA,1507,America/New_York,42.1447,-71.9653,,OMA
1168,Paradise Residence,,,5.4,11/17/11,,,Fitchburg,MA,1420,America/New_York,42.5834,-71.8023,,Paradise
1203,Ames Residence,,,,12/6/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Ames
1209,Million Air,,,,8/3/11,,,Sandston,VA,23150,America/New_York,37.5077,-77.252,,Million
1213,Tuomala Residence,,,6.66,12/14/11,,,Fitchburg,MA,1420,America/New_York,42.5834,-71.8023,,Tuomala
1214,Snyder G Residence - Harvard,,,7.77,12/14/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Snyder
1215,Durham Residence,,,7.77,12/14/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Durham
1216,Taylor G Residence,,,3.7,12/14/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Taylor
1217,Jackson P Residence,,,3.7,12/14/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Jackson
1218,Poutasse Residence,,,5,12/14/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Poutasse
1233,Chen Residence,,,5,12/20/11,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Chen
1234,Ross Residence,,,6.11,12/21/11,,,Bolton,MA,1470,America/New_York,42.4773,-71.5865,,Ross
1235,CBIS Inc.,,,373.75,12/21/11,,29 Freight House Rd.,West brookfield,MA,1585,America/New_York,42.2293,-72.1455,,CBIS
1237,Colorado Solar Garden,,,,12/21/11,,,Colorado springs,CO,80911,America/Denver,38.982592,-104.73349,,
1238,100 Discovery Way,,,,1/3/12,,100 Discovery Way,Acton,MA,1742,America/New_York,42.4718,-71.44,,100
1239,Lancelotti,,,2.96,1/4/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Lancelotti
1240,Ware-McCarthy Residence,,,6.66,1/4/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Ware_McCarthy
1241,Kronauer Residence,,,6.66,1/4/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Kronauer
1242,Leicher Residence,,,4.44,1/4/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Leicher
1243,Hughes Residence,,,2.96,1/4/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Hughes
1244,Gould's Plaza,,,42.55,1/4/12,,,Acton,MA,1451,America/New_York,42.5074,-71.5843,,Gould_s
1251,Creedon Co.,,,126.73,1/11/12,,"39 Jolma Road,",Worcester,MA,1601,America/New_York,42.2476,-71.7562,,Creedon
1281,Hermann Crystoff,,,3.33,1/23/12,,32 Madiagan Ln,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Hermann
1282,Cutler Residence,,,6.11,1/23/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Cutler
1283,Harasimowicz Residence,,,5.18,1/23/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Harasimowicz
1301,Barrett Distribution,,,,2/6/12,,,Franklin,MA,2038,America/New_York,42.707,-71.1631,,
1312,Thornton Residence,,,6.66,2/14/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Thornton
1313,Dangle-Gordon Residence,,,5.55,2/14/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Dangle_Gordon
1314,"Nigzus, C Residence",,,3.89,2/14/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Nigzus_
1315,LGA,,,255.64,2/21/12,,300 Whitney St.,Leominster,MA,1453,America/New_York,42.531,-71.752,,LGA
1325,Ray Residence - Sutton,,,5.18,8/5/11,,,Sutton,MA,1590,America/New_York,42.15,-71.7633,,Ray
1334,Mimosa,,,,2/1/13,,2km Este De La Fanal,Rincon de salas,GRECIA,,America/Chicago,10.02893,-84.329665,,
1347,Winnco,,,624.68,3/20/12,,2 Winnco Dr.,San antonio,TX,78218,America/Chicago,29.5481,-98.3633,,Winnco
1353,Thurlow Residence,,,3.7,3/22/12,,,Spencer,MA,1562,America/New_York,42.244,-71.9923,,Thurlow
1356,Alstom Power 56.16,,,,3/26/12,,1119 Riverfront Parkway,Chattanooga,TN,37402,America/New_York,35.0485,-85.3252,,
1369,Quarles Residence,,,2.59,4/6/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Quarles
1376,Besse Residence,,,5.7,4/20/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Besse
1377,Turner Residence,,,5.18,8/22/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Turner
1378,Broadbent Residence,,,4.56,5/15/13,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Broadbent
1379,Buhner Residence,,,6.84,7/17/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Buhner
1380,CWM / TH,,,9.99,6/15/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,CWM
1381,McAlpine Residence,,,4.56,4/25/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,McAlpine
1382,Milford Residence,,,3.42,5/7/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Milford
1383,Colarossi Residence,,,9.5,8/3/12,,,Stow,MA,1775,America/New_York,42.5,-71.5833,,Colarossi
1384,Poledo Residence,,,,6/29/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Poledo
1385,Warner Residence,,,3.42,7/25/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Warner
1398,Lee Residence,,,2.59,4/23/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Lee
1406,Acorn Animal Hospital,,,19.8,5/8/12,,,Franklin,MA,2038,America/New_York,42.0834,-71.3967,,Acorn
1439,Spector Textile (10 Embankment),,,370.5,6/6/12,,31 Water St.,Lawrence,MA,1841,America/New_York,42.7069,-71.1654,,Spector
1443,Minar,,,4.18,6/8/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Minar
1444,15 Union Street,,,588.82,3/21/12,,15 Union St.,Lawrence,MA,1840,America/New_York,42.7076694,-71.153043,,15
1459,Noble Residence,,,4.44,6/19/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Noble
1466,Streich Residence,,,,7/12/12,,73 Wetherbee Rd.,Waltham,MA,2453,America/New_York,42.3697,-71.2642,,
1471,Hearne Residence,,,,7/24/12,,885 New London Road,Newark,DE,19711,America/New_York,39.7131,-75.7828,,
1479,17 Shepard Street,,,,8/11/12,,17 Shepard St.,Lawrence,MA,1843,America/New_York,42.714,-71.1656,,17
1509,Degrand Residence,,,6.66,7/25/12,,,Grafton,MA,1519,America/New_York,42.1993,-71.6792,,Degrand
1535,Dean Residence,,,6.84,8/3/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Dean
1541,Olejarz,,,,8/6/12,,,Harvard,MA,1467,America/New_York,42.4923,-71.6173,,Olejarz
1546,Nigzus-Triantaris Residence,,,4.56,8/7/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Nigzus_Triantaris
1552,Dyer Residence,,,4.07,8/8/12,,,Harvard,MA,1451,America/New_York,42.5,-71.5833,,Dyer
1553,O'Shea,,,6.46,8/8/12,,357 Old Littleton Road,Harvard,MA,1467,America/New_York,42.5303,-71.5394,,O_Shea
1556,Drumheller - Shop House,,,,8/30/12,,600 E. Glenn Rd.,Princeton,CA,95970,America/Los_Angeles,42.714,-71.1656,,
1557,Drumheller - Shop Pump,,,,8/30/12,,600 E. Glenn Rd.,Princeton,CA,95970,America/Los_Angeles,42.714,-71.1656,,
1562,Saw-Tech / JKM Industries,,,,5/13/14,,11 Glenn St.,Lawrence,MA,1843,America/New_York,42.6835799,-71.1774819,,
1563,United Salvage (Framingham Salvage Co.),,,800.03,11/12/12,,721 Waverly St.,Framingham,MA,1702,America/New_York,42.279263,-71.416172,,United
1564,Borges - Hospital,,,,12/8/14,,8350 Brady Rd.,Manteca,CA,95337,America/Los_Angeles,42.707035,-71.163114,,Borges
1576,Chalifoux Residence,,,3.04,9/4/12,,,Harvard,MA,,America/New_York,42.5,-71.5833,,Chalifoux
1603,Willard Elementary School,,,48.4,9/24/12,,185 Powder Mill Rd.,Concord,MA,1742,America/New_York,42.4603,-71.3494,,Willard
