site_id,activationDate,city,csv_name,latitude,line1,longitude,name,postal,state,timezone
177,2009-09-30,Lancaster,,42.4851,,-71.6792,"Davis Residence - Lancaster, MA",1523.0,MA,-5:00
183,2009-10-26,Framingham,Monnick,42.272301,759 Waverly St.,-71.429105,Monnick Supply,1702.0,MA,-5:00
191,2009-12-08,Canon city,Lincoln,38.432633,420 Myrtle,-105.23929,Lincoln Elementary School,81212.0,CO,-7:00
195,2010-02-18,Dennis port,Stage,41.6657,411 Main Street,-70.131622,Stage Stop Candy,2639.0,MA,-5:00
197,2009-12-02,Canon city,Skyline,38.4677,2855 N. 9th St.,-105.23891,Skyline Elementary School,81212.0,CO,-7:00
199,2009-11-11,Rutland,,42.3695,,-71.9481,Kennedy Residence - Rutland,1543.0,MA,-5:00
200,2009-11-03,Worcester,,42.2705,,-71.8512,Dick Residence,1602.0,MA,-5:00
206,2009-10-28,New bedford,Lighthouse,41.726449,,-70.96384499999999,Lighthouse Masonry,2747.0,MA,-5:00
207,2009-11-11,Berlin,,42.361125,,-71.62859399999999,Holiday Farm,1503.0,MA,-5:00
208,2009-11-30,West brookfield,Lapine,42.4072,,-71.3824,Lapine residence,,MA,-5:00
222,2010-01-06,Canon city,Canon,38.445087,1215 main Street,-105.23146000000001,Canon City Middle School System,81212.0,CO,-7:00
229,2009-12-22,Canon city,McKinley,38.431502,1240 McKinley St.,-105.21423999999999,McKinley Elementary School,81212.0,CO,-7:00
238,2009-12-02,Concord,Pierce,42.459915,,-71.347799,Pierce Residence,1742.0,MA,-5:00
239,2009-03-01,Canon city,Canon,38.449802000000005,1313 College Ave,-105.23292,Canon City High School,81212.0,CO,-7:00
241,2010-01-11,Canon city,Harrison,38.460568,920 Feild Avenue,-105.25341999999999,Harrison Middle School,81212.0,CO,-7:00
247,2010-04-01,Northborough,Fite,42.310128999999996,,-71.655451,Fite Residence,1532.0,MA,-5:00
253,2009-12-11,Canon city,Canon,38.46055,1030 S. 4st,-105.25358999999999,Canon City Bus Garage,81212.0,CO,-7:00
254,2010-01-06,Canon city,Washington,38.477871,606 N. 9th St.,-105.36821,Washington Elementary School,81212.0,CO,-7:00
270,2012-09-17,Harvard,Brandom,42.5164,239 Old Littleton Road,-71.5475,Brandom Residence,1451.0,MA,-5:00
273,2010-03-09,Hudson,Rykbost,42.39117,,-71.567684,Rykbost Residence,1749.0,MA,-5:00
321,2010-04-07,Framingham,,42.273418,701 Waverly Street,-71.426969,Conigliaro Industries,1702.0,MA,-5:00
330,2010-05-04,Canton,,41.818673,50 Old River Rd.,-72.92204699999999,Canton Water Pollution Control Facility,6019.0,CT,-5:00
352,2010-04-29,Windsor,,41.851755,,-72.643514,Site 149,6095.0,CT,-5:00
375,2010-07-08,Grafton,,42.21112,24 Providence Rd.,-71.69230300000001,Grafton High School,1519.0,MA,-5:00
379,2010-07-15,Needham,,42.286848,307 Brookline St.,-71.22755,Kaufman-Kraft House,2492.0,MA,-5:00
393,2010-01-11,Rocky ford,Rocky,38.047022999999996,709 S. 11th St.,-103.72032,Rocky Ford - Washington Primary School,81067.0,CO,-7:00
394,2010-06-21,Rocky ford,Rocky,38.045826,901 S. 11th St.,-103.72039000000001,Rocky Ford - Jefferson Middle School,81067.0,CO,-7:00
396,2010-06-23,Rocky ford,Rocky,38.043964,100 W. Washington,-103.73298,Rocky Ford High School - AG Building,81067.0,CO,-7:00
397,2010-06-11,Rocky ford,Rocky,38.043964,100 W. Washington,-103.73298,Rocky Ford High School,81067.0,CO,-7:00
398,2010-05-17,Rocky ford,,38.043964,100 W. Washington,-103.73298,Rocky Ford High School - Bus Garage,81067.0,CO,-7:00
409,2010-06-10,Marlborough,Fix,42.346806,,-71.54799100000001,Fix Residence,1752.0,MA,-5:00
410,2010-06-09,Jefferson,Haran_Costello,42.380348600000005,,-71.8864407,Haran-Costello Residence,1522.0,MA,-5:00
411,2010-06-10,Lunenburg,Contaxes,42.594714,,-71.726229,Contaxes Residence,1462.0,MA,-5:00
412,2010-06-10,Roslindale,Gag,42.286625,,-71.13136899999999,Gag Residence,2101.0,MA,-5:00
413,2010-06-09,Jefferson,Jefferson,42.362235,,-71.8862,"Jefferson Residence, - Jefferson, MA",1522.0,MA,-5:00
419,2010-06-09,Westborough,Simpson,42.283096,,-71.600318,Simpson Residence,1582.0,MA,-5:00
421,2010-06-10,Holden,MSF_V,42.346587,,-71.85561700000001,MSF/V,1520.0,MA,-5:00
423,2010-07-15,Westminster,Herriott,42.579587,,-71.890514,Herriott Residence,1473.0,MA,-5:00
437,2010-09-23,Woodstock,,41.954505,,-71.98105600000001,DCS#142,6281.0,CT,-5:00
438,2010-07-02,Harvard,Arnold,42.53494,,-71.585165,Arnold Residence - Harvard,1451.0,MA,-5:00
444,2010-07-01,Framingham,,42.274484,10 Roxanna St,-71.410842,Suburban Athletic Club,1702.0,MA,-5:00
446,2010-09-20,,Leitheiser,,,,Leitheiser Residence,,,-5:00
448,2010-08-20,Revere,Savage,42.4084,,-71.012,Savage Residence,,MA,-5:00
450,2010-07-14,,Sprayregen,,,,Sprayregen Residence,,,-5:00
474,2010-07-30,Hebron,,41.6581,33 Pendleton Dr,-72.3612,,6248.0,CT,-5:00
482,2010-07-28,Columbia,DCS,41.6956,,-72.3074,DCS 164,6237.0,CT,-5:00
496,2010-08-13,Charlton,Nature_s,42.1425,,-71.9757,Nature's Classroom - East Lodge,1507.0,MA,-5:00
500,2010-11-01,Byfield,The,42.7497,1 Elm St.,-70.8983,The Governor's Academy - Gym,1922.0,MA,-5:00
518,2010-08-26,Sherborn,Grey,42.2583,,-71.3769,Grey Residence,1770.0,MA,-5:00
519,2010-08-27,Northborough,Bissett,42.3483,,-71.6774,Bissett Residence,1532.0,MA,-5:00
521,2010-12-10,Pepperell,Prozeller,42.6659,,-71.5884,Prozeller Residence,1463.0,MA,-5:00
522,2010-09-02,Gardner,Boucher,42.5775,,-71.9961,Boucher Residence - Gardner,1440.0,MA,-5:00
529,2010-09-16,Bolton,Barshak,42.4118,,-71.5776,Barshak Residence,1740.0,MA,-5:00
530,2010-10-09,Sudbury,Noyes,42.3819,280 Old Sudbury Road,-71.4103,Noyes School,1776.0,MA,-5:00
545,2011-04-06,Chelmsford,,42.5998,50 Doak Dr.,-71.3673,Chelmsford 3G - Crooked Spring Water Treatment,1824.0,MA,-5:00
546,2011-02-22,Everett,National,42.4117,,-71.0724,"National Grid - Everett, MA 3",2149.0,MA,-5:00
558,2010-11-11,Hopkinton,SED,42.2187,89 Hayden Rowe St.,-71.5157,SED - Honey Hill Farms,1748.0,MA,-5:00
561,2010-11-22,Falmouth,,41.5598,,-70.624,Falmouth Academy,2540.0,MA,-5:00
564,2010-11-30,Grafton,Meichelbeck,42.22,,-71.6445,Meichelbeck Residence,1568.0,MA,-5:00
567,2010-09-30,Moodus,,41.5089,,-72.4436,DCS 180,6469.0,CT,-5:00
569,2010-11-16,Mansfield,,41.4848,,-72.267,DCS 201,6426.0,CT,-5:00
570,2010-10-07,Bristol,,41.6751,,-72.9224,DCS 202,6010.0,CT,-5:00
571,2010-10-03,Lebanon,,41.6418,,-72.2127,DCS 191,6249.0,CT,-5:00
574,2010-10-15,Salem,,41.4945,,-72.2601,DCS 198,6420.0,CT,-5:00
576,2010-09-24,Salem,,41.4945,,-72.2601,DCS 200,6420.0,CT,-5:00
585,2011-08-01,Fall river,Precise,41.7406,927 Currant Rd,-71.1073,Precise Packaging,2720.0,MA,-5:00
614,2010-10-30,Boston,,42.3584,924 Harrison Ave.,-71.0598,Boston Water and Sewer Commission (BWSC),2118.0,MA,-5:00
630,2011-08-22,Bolton,Senie,42.4334,,-71.6078,Senie Residence,1740.0,MA,-5:00
631,2010-11-03,Lebanon,,41.6418,,-72.2127,DCS 205,6249.0,CT,-5:00
632,2010-11-19,South woodstock,,41.9379,,-71.9595,DCS 211,6267.0,CT,-5:00
637,2011-11-18,Ashbernham,,42.6355,,-71.9097,Wright Hay Barn,1430.0,MA,-5:00
643,2011-03-15,Rochester,,41.7873,476 North Ave,-70.8744,Old Colony Vocational School,2770.0,MA,-5:00
644,2010-11-19,Natick,Fuhro,42.2871,,-71.3592,Fuhro Residence,1760.0,MA,-5:00
645,2011-09-12,Sherborn,,42.2468,26 North Main St.,-71.3687,Rose's Automotive,1770.0,MA,-5:00
647,2010-12-08,Harvard,Beale,42.5523,,-71.5726,Beale Residence,1415.0,MA,-5:00
655,2010-12-16,Oxford,Great,41.4233,50 Great Oak Rd.,-73.1402,Great Oak Middle School,6478.0,CT,-5:00
669,2011-04-19,Grafton,Hill,42.1993,,-71.6792,Hill Residence,1519.0,MA,-5:00
682,2011-02-22,Everett,National,42.4117,,-71.0724,"National Grid - Everett, MA",2149.0,MA,-5:00
694,2011-01-07,Belmont,Brownsberger,42.3959,,-71.1787,Brownsberger Residence,,MA,-5:00
695,2010-12-21,Ashland,,42.2611,159 Chestnut St.,-71.4639,Boston BioProducts,1721.0,MA,-5:00
704,2010-10-19,Colchester,,41.5757,,-72.332,DCS 262,6415.0,CT,-5:00
706,2011-01-13,East granby,,41.9543,,-72.3023,DCS 250,6026.0,CT,-5:00
708,2010-12-03,Woodstock,McHenry,42.3147,2200 N. Seminary Ave.,-88.4487,McHenry County Administration Building,60098.0,IL,-6:00
715,2010-12-21,Revere,National,42.4191,24 Railroad Ave.,-71.0086,"National Grid - Revere, MA",2151.0,MA,-5:00
716,2010-12-29,Haverhill,National,42.7952,89 Hilldale Ave.,-71.0576,National Grid - Haverhill,1832.0,MA,-5:00
726,2011-01-06,Cromwell,Edna,41.62,25 Court Street,-72.6583,Edna C. Stevens Elementary School,6416.0,CT,-5:00
744,2011-07-19,East hanover,,40.8193,220 Merry Lane,-74.3457,Weiss - Aug,7936.0,NJ,-5:00
761,2012-12-01,Harvard,,42.4972,27 Mass Ave,-71.5826,Hildreth Elementary School,1451.0,MA,-5:00
788,2011-04-19,Southbridge,Santos,42.0751,,-72.0334,Santos Residence,,MA,-5:00
791,2011-02-18,Westborough,Westborough,42.2752,113 Milk St,-71.6229,Westborough Solar Farm,,MA,-5:00
806,2011-03-28,Hanover,,42.1223,596 Washington Street,-70.8251,Planet Subaru,2339.0,MA,-5:00
812,2010-12-21,Revere,National,42.4191,,-71.0086,"National Grid - Revere, MA 2",2151.0,MA,-5:00
820,2011-01-08,Stamford,,41.1404,641 Scofieldtown Road,-73.5564,Scofield Magnet School,6901.0,CT,-5:00
843,2011-03-29,North andover,Brooks,42.6696,,-71.0854,Brooks School,1845.0,MA,-5:00
853,2011-02-22,Everett,National,42.4117,,-71.0724,"National Grid - Everett, MA 2",2149.0,MA,-5:00
860,2011-04-13,Rincon,Effingham,32.296,2940 Highway 21 S.,-81.2354,,31326.0,GA,-5:00
862,2011-04-26,Ashburnham,Leblanc,42.6682,,-71.9283,Leblanc Residence - Ashburnham,1430.0,MA,-5:00
863,2011-05-02,Ashburnham,Wright,42.6682,,-71.9283,Wright Residence - Ashburnham,1430.0,MA,-5:00
864,2011-04-24,Acton,Lewin_Berlin,42.4836,,-71.4418,Lewin-Berlin Residence,1720.0,MA,-5:00
866,2011-09-15,Billerica,,42.5465,1100 Technology Park Dr,-71.2518,GE Sensing,1821.0,MA,-5:00
867,2010-11-22,Rutland,Zglobicki,42.3695,,-71.9481,Zglobicki Residence,,MA,-5:00
870,2011-04-22,Ashland,Shander_Reynolds,42.2611,,-71.4639,Shander-Reynolds,,MA,-5:00
871,2010-12-29,Haverhill,National,42.7762,,-71.0773,National Grid - Haverhill 2,1830.0,MA,-5:00
880,2011-04-28,Cromwell,Cromwell,41.6275,6 Mann Memorial Dr.,-72.6562,Cromwell Middle School,6416.0,CT,-5:00
895,2010-12-29,Haverhill,National,42.7762,,-71.0773,National Grid - Haverhill 3,1830.0,MA,-5:00
918,2011-05-24,Dedham,Dedham,42.2418,140 Whiting Ave.,-71.1662,Dedham High School,2026.0,MA,-5:00
919,2011-05-24,Fall river,,41.7469,1140 Airport Rd.,-71.1106,Precise Packaging Inc.,2720.0,MA,-5:00
920,2011-08-05,Milford,,42.1398,393 Fortune Blvd.,-71.5162,Clarke Distribution Corporation,1757.0,MA,-5:00
935,2011-06-06,Leominster,Erb,42.5251,,-71.7598,Erb Residence,1453.0,MA,-5:00
948,2011-06-16,Framingham,Saxonville,42.3251,2 Central St.,-71.4001,Saxonville Mill,10702.0,MA,-5:00
977,2011-07-18,Lincoln,GEM,41.911,1 Wellington Rd.,-71.4418,,2865.0,RI,-5:00
979,2011-07-21,Franklin,JEM,42.0834,23 National Dr.,-71.3967,"JEM Electronics, Inc.",2038.0,MA,-5:00
988,2011-08-04,Santa barbara,Hope,34.4447,,-119.75399999999999,Hope School District,93101.0,CA,-8:00
1011,2011-08-12,Hyannis,,41.701,617 Bearses Way,-70.3063,Barnstable - WPCF,2601.0,MA,-5:00
1015,2011-08-25,Acton,Mangeolle,42.485,,-71.4333,Mangeolle Residence,1720.0,MA,-5:00
1017,2011-08-26,Harvard,Williams,42.5,,-71.5833,Williams Residence,1451.0,MA,-5:00
1018,2011-08-29,Rutland,Lussier,42.3694,,-71.9486,Lussier Residence,1543.0,MA,-5:00
1028,2011-08-26,Fitchburg,,42.5561,640 Crawford St.,-71.7531,Hi-Gear,1420.0,MA,-5:00
1036,2011-09-07,Ashburham,St,42.6682,,-71.9283,St Cyr Residence,1430.0,MA,-5:00
1037,2011-09-29,Harvard,Tonge,42.5,,-71.5833,Tonge Residence,1451.0,MA,-5:00
1049,2011-08-16,Ashland,126,42.2493,162 Pond Street,-71.4284,126 Self Storage - 481kW,1721.0,MA,-5:00
1053,2011-09-14,Northboro,Hogan,42.3289,,-71.6555,Hogan Residence,1532.0,MA,-5:00
1068,2011-09-27,Harvard,Landeryou,42.5,,-71.5833,Landeryou Residence,1451.0,MA,-5:00
1069,2011-09-27,Harvard,Clark,42.5,,-71.5833,Clark Residence - Harvard,1451.0,MA,-5:00
1070,2011-09-27,Harvard,Tuttle,42.5,,-71.5833,Tuttle Residence,1451.0,MA,-5:00
1071,2011-09-27,Harvard,Aciukewicz,42.5,,-71.5833,Aciukewicz Residence,1451.0,MA,-5:00
1075,2011-09-29,Harvard,M,42.5,,-71.5833,M Taylor Residence,1451.0,MA,-5:00
1076,2011-09-29,Harvard,Basile,42.5,,-71.5833,Basile Residence,1451.0,MA,-5:00
1077,2011-09-29,Harvard,Marder,42.4923,224 Still River Rd.,-71.6173,Marder PV,1467.0,MA,-5:00
1093,2011-12-22,Smyrna,Smyrna,35.9828,278 Doug Warpoole Rd.,-86.5186,Smyrna LLC / Rutherford County Airport,37167.0,TN,-6:00
1097,2011-10-12,Billerica,EMD,42.5281,45A Middlesex Tpke.,-71.2572,EMD Serono Research Center,1821.0,MA,-5:00
1103,2011-10-13,Ashbernham,Eddy,42.6355,,-71.9097,Eddy Residence,1430.0,MA,-5:00
1113,2011-10-17,Baltimore,Arbors,39.3515,11550 Crossroads Circle,-76.3753,Arbors at Baltimore Crossroads,21220.0,MD,-5:00
1126,2011-10-24,New bedford,Victoria,41.6382,10 Manomet St,-70.9368,Victoria Riverside LLC,2740.0,MA,-5:00
1130,2012-08-22,Millbury,,42.7015,50 Route 20,-71.1249,Upper Blackstone Water Pollution Abatement District,1527.0,MA,-5:00
1135,2011-12-19,Dorchester,National,42.2905,220 Victory Rd.,-71.0415,National Grid - Dorchester,2122.0,MA,-5:00
1138,2011-11-01,Acton,,42.485,,-71.4333,Chigas Residence,1720.0,MA,-5:00
1163,2012-07-24,Charlton,OMA,42.1447,157 Worcester Rd,-71.9653,OMA Group,1507.0,MA,-5:00
1168,2011-11-17,Fitchburg,Paradise,42.5834,,-71.8023,Paradise Residence,1420.0,MA,-5:00
1203,2011-12-06,Harvard,Ames,42.5,,-71.5833,Ames Residence,1451.0,MA,-5:00
1209,2011-08-03,Sandston,Million,37.5077,,-77.252,Million Air,23150.0,VA,-5:00
1213,2011-12-14,Fitchburg,Tuomala,42.5834,,-71.8023,Tuomala Residence,1420.0,MA,-5:00
1214,2011-12-14,Harvard,Snyder,42.5,,-71.5833,Snyder G Residence - Harvard,1451.0,MA,-5:00
1215,2011-12-14,Harvard,Durham,42.5,,-71.5833,Durham Residence,1451.0,MA,-5:00
1216,2011-12-14,Harvard,Taylor,42.5,,-71.5833,Taylor G Residence,1451.0,MA,-5:00
1217,2011-12-14,Harvard,Jackson,42.5,,-71.5833,Jackson P Residence,1451.0,MA,-5:00
1218,2011-12-14,Harvard,Poutasse,42.5,,-71.5833,Poutasse Residence,1451.0,MA,-5:00
1233,2011-12-20,Harvard,Chen,42.5,,-71.5833,Chen Residence,1451.0,MA,-5:00
1234,2011-12-21,Bolton,Ross,42.4773,,-71.5865,Ross Residence,1470.0,MA,-5:00
1235,2011-12-21,West brookfield,CBIS,42.2293,29 Freight House Rd.,-72.1455,CBIS Inc.,1585.0,MA,-5:00
1237,2011-12-21,Colorado springs,,38.982592,,-104.73349,Colorado Solar Garden,80911.0,CO,-7:00
1238,2012-01-03,Acton,100,42.4718,100 Discovery Way,-71.44,100 Discovery Way,1742.0,MA,-5:00
1239,2012-01-04,Harvard,Lancelotti,42.5,,-71.5833,Lancelotti,1451.0,MA,-5:00
1240,2012-01-04,Harvard,Ware_McCarthy,42.5,,-71.5833,Ware-McCarthy Residence,1451.0,MA,-5:00
1241,2012-01-04,Harvard,Kronauer,42.5,,-71.5833,Kronauer Residence,1451.0,MA,-5:00
1242,2012-01-04,Harvard,Leicher,42.5,,-71.5833,Leicher Residence,1451.0,MA,-5:00
1243,2012-01-04,Harvard,Hughes,42.5,,-71.5833,Hughes Residence,1451.0,MA,-5:00
1244,2012-01-04,Acton,Gould_s,42.5074,,-71.5843,Gould's Plaza,1451.0,MA,-5:00
1251,2012-01-11,Worcester,Creedon,42.2476,"39 Jolma Road,",-71.7562,Creedon Co.,1601.0,MA,-5:00
1281,2012-01-23,Harvard,Hermann,42.5,32 Madiagan Ln,-71.5833,Hermann Crystoff,1451.0,MA,-5:00
1282,2012-01-23,Harvard,Cutler,42.5,,-71.5833,Cutler Residence,1451.0,MA,-5:00
1283,2012-01-23,Harvard,Harasimowicz,42.5,,-71.5833,Harasimowicz Residence,1451.0,MA,-5:00
1301,2012-02-06,Franklin,,42.707,,-71.1631,Barrett Distribution,2038.0,MA,-5:00
1312,2012-02-14,Harvard,Thornton,42.5,,-71.5833,Thornton Residence,1451.0,MA,-5:00
1313,2012-02-14,Harvard,Dangle_Gordon,42.5,,-71.5833,Dangle-Gordon Residence,1451.0,MA,-5:00
1314,2012-02-14,Harvard,Nigzus_,42.5,,-71.5833,"Nigzus, C Residence",1451.0,MA,-5:00
1315,2012-02-21,Leominster,LGA,42.531000000000006,300 Whitney St.,-71.752,LGA,1453.0,MA,-5:00
1325,2011-08-05,Sutton,Ray,42.15,,-71.7633,Ray Residence - Sutton,1590.0,MA,-5:00
1334,2013-02-01,Rincon de salas,,10.02893,2km Este De La Fanal,-84.329665,Mimosa,,GRECIA,-6:00
1347,2012-03-20,San antonio,Winnco,29.5481,2 Winnco Dr.,-98.3633,Winnco,78218.0,TX,-6:00
1353,2012-03-22,Spencer,Thurlow,42.244,,-71.9923,Thurlow Residence,1562.0,MA,-5:00
1356,2012-03-26,Chattanooga,,35.0485,1119 Riverfront Parkway,-85.3252,Alstom Power 56.16,37402.0,TN,-5:00
1369,2012-04-06,Harvard,Quarles,42.5,,-71.5833,Quarles Residence,1451.0,MA,-5:00
1376,2012-04-20,Harvard,Besse,42.5,,-71.5833,Besse Residence,1451.0,MA,-5:00
1377,2012-08-22,Harvard,Turner,42.5,,-71.5833,Turner Residence,1451.0,MA,-5:00
1378,2013-05-15,Harvard,Broadbent,42.5,,-71.5833,Broadbent Residence,1451.0,MA,-5:00
1379,2012-07-17,Harvard,Buhner,42.5,,-71.5833,Buhner Residence,1451.0,MA,-5:00
1380,2012-06-15,Harvard,CWM,42.5,,-71.5833,CWM / TH,1451.0,MA,-5:00
1381,2012-04-25,Harvard,McAlpine,42.5,,-71.5833,McAlpine Residence,1451.0,MA,-5:00
1382,2012-05-07,Harvard,Milford,42.5,,-71.5833,Milford Residence,1451.0,MA,-5:00
1383,2012-08-03,Stow,Colarossi,42.5,,-71.5833,Colarossi Residence,1775.0,MA,-5:00
1384,2012-06-29,Harvard,Poledo,42.5,,-71.5833,Poledo Residence,1451.0,MA,-5:00
1385,2012-07-25,Harvard,Warner,42.5,,-71.5833,Warner Residence,1451.0,MA,-5:00
1398,2012-04-23,Harvard,Lee,42.5,,-71.5833,Lee Residence,1451.0,MA,-5:00
1406,2012-05-08,Franklin,Acorn,42.0834,,-71.3967,Acorn Animal Hospital,2038.0,MA,-5:00
1439,2012-06-06,Lawrence,Spector,42.7069,31 Water St.,-71.1654,Spector Textile (10 Embankment),1841.0,MA,-5:00
1443,2012-06-08,Harvard,Minar,42.5,,-71.5833,Minar,1451.0,MA,-5:00
1444,2012-03-21,Lawrence,15,42.70766939999999,15 Union St.,-71.15304300000001,15 Union Street,1840.0,MA,-5:00
1459,2012-06-19,Harvard,Noble,42.5,,-71.5833,Noble Residence,1451.0,MA,-5:00
1466,2012-07-12,Waltham,,42.3697,73 Wetherbee Rd.,-71.2642,Streich Residence,2453.0,MA,-5:00
1471,2012-07-24,Newark,,39.7131,885 New London Road,-75.7828,Hearne Residence,19711.0,DE,-5:00
1479,2012-08-11,Lawrence,17,42.714,17 Shepard St.,-71.1656,17 Shepard Street,1843.0,MA,-5:00
1509,2012-07-25,Grafton,Degrand,42.1993,,-71.6792,Degrand Residence,1519.0,MA,-5:00
1535,2012-08-03,Harvard,Dean,42.5,,-71.5833,Dean Residence,1451.0,MA,-5:00
1541,2012-08-06,Harvard,Olejarz,42.4923,,-71.6173,Olejarz,1467.0,MA,-5:00
1546,2012-08-07,Harvard,Nigzus_Triantaris,42.5,,-71.5833,Nigzus-Triantaris Residence,1451.0,MA,-5:00
1552,2012-08-08,Harvard,Dyer,42.5,,-71.5833,Dyer Residence,1451.0,MA,-5:00
1553,2012-08-08,Harvard,O_Shea,42.5303,357 Old Littleton Road,-71.5394,O'Shea,1467.0,MA,-5:00
1556,2012-08-30,Princeton,,42.714,600 E. Glenn Rd.,-71.1656,Drumheller - Shop House,95970.0,CA,-8:00
1557,2012-08-30,Princeton,,42.714,600 E. Glenn Rd.,-71.1656,Drumheller - Shop Pump,95970.0,CA,-8:00
1562,2014-05-13,Lawrence,,,11 Glenn St.,,Saw-Tech / JKM Industries,1843.0,MA,-5:00
1563,2012-11-12,Framingham,United,42.279263,721 Waverly St.,-71.416172,United Salvage (Framingham Salvage Co.),1702.0,MA,-5:00
1564,2014-12-08,Manteca,Borges,42.707035,8350 Brady Rd.,-71.16311400000001,Borges - Hospital,95337.0,CA,-8:00
1576,2012-09-04,Harvard,Chalifoux,42.5,,-71.5833,Chalifoux Residence,,MA,-5:00
1603,2012-09-24,Concord,Willard,42.4603,185 Powder Mill Rd.,-71.3494,Willard Elementary School,1742.0,MA,-5:00
1606,2012-09-25,Harvard,Weiss,42.5,,-71.5833,Weiss Residence,1451.0,MA,-5:00
1609,2012-09-28,Gainesville,,29.6516,2650 N.E. 53rd Ave.,-82.3248,MLH 2,32609.0,FL,-5:00
1617,2012-10-17,Cleveland,S_DLE,41.5073,10900 Euclid Ave,-81.607,S-DLE Sun Farm,44106.0,OH,-5:00
1623,2012-10-05,Gainesville,MLH,29.6516,2650 N.E. 53rd Ave.,-82.3248,MLH 1,32609.0,FL,-5:00
1630,2012-10-17,Tewksbury,Southard,42.3762,,-71.1158,Southard Residence,1876.0,MA,-5:00
1635,2012-10-01,Ashby,Haines,42.6778,,-71.8208,Haines Residence,,MA,-5:00
1636,2012-10-26,Acton,Liu,42.485,,-71.4333,Liu Residence - Acton,,MA,-5:00
1643,2012-10-24,Sterling,Menin,42.4374,,-71.7606,Menin Residence,,MA,-5:00
1644,2012-10-24,Bolton,Ritter,42.4334,,-71.6078,Ritter Residence,,MA,-5:00
1661,2012-12-04,Harvard,Hoffman,42.5,,-71.5833,Hoffman Residence,1451.0,MA,-5:00
1662,2012-11-28,Lunenburg,Ed,42.5945,,-71.7245,Ed Dufresne,1462.0,MA,-5:00
1663,2012-11-09,Acton,Gutfreund,42.485,,-71.4333,Gutfreund Residence,1720.0,MA,-5:00
1664,2012-11-09,Harvard,Nickerson,42.5,,-71.5833,Nickerson Residence,1451.0,MA,-5:00
1665,2012-11-09,Acton,Kleinschmidt,42.485,,-71.4333,Kleinschmidt Residence,1720.0,MA,-5:00
1683,2012-11-20,Harvard,Fay,42.5,,-71.5833,Fay Residence,1451.0,MA,-5:00
1687,2012-11-15,Hubbardston,,42.4737,,-72.0062,Bratko Residence,1452.0,MA,-5:00
1700,2012-11-21,North reading,Teradyne,42.53823,500-700 River Park Drive,-71.1035,Teradyne NR,1889.0,MA,-5:00
1701,2012-11-21,North reading,Teradyne,42.5556,600 River Park Dr.,-71.1345,Teradyne Building 600,1889.0,MA,-5:00
1702,2012-11-21,North reading,Teradyne,42.5569,700 River Park Dr.,-71.1366,Teradyne Building 700,1889.0,MA,-5:00
1703,2012-11-21,North reading,Teradyne,42.555,500 River Park Dr.,-71.1366,Teradyne Building 500,1889.0,MA,-5:00
