,site_id,activationDate,city,csv_name,latitude,line1,longitude,name,postal,state,timezone,address
12,113,2010-04-17,Danbury,,41.3756,,-73.4534,Owl Power Company,6810,CT,-5:00," Danbury, CT 6810"
13,141,2009-08-14,Hollister,Ferreira,36.831764,1131 Union Heights Rd,-121.426,Ferreira Residence,95023,CA,-8:00,"1131 Union Heights Rd Hollister, CA 95023"
14,142,2009-08-11,Medfield,,42.1876,,-71.3064,Suojanen Residence,2052,MA,-5:00," Medfield, MA 2052"
15,143,2009-08-12,Maynard,,42.4249,,-71.4596,Augustine Residence,1754,MA,-5:00," Maynard, MA 1754"
16,144,2009-08-07,Wocester,,42.2321,,-71.7919,Boover Residence,1607,MA,-5:00," Wocester, MA 1607"
17,145,2009-08-07,South grafton,Kjellberg,42.1744,,-71.6733,Kjellberg Residence,1560,MA,-5:00," South grafton, MA 1560"
18,146,2009-09-10,Dudley,,42.0582,,-71.9283,Buffum Residence,1571,MA,-5:00," Dudley, MA 1571"
19,148,2010-11-02,Lawrence,,42.4191,360 Merrimack Street1,-71.0086,SolrenView test Site's,x,MA,-5:00,"360 Merrimack Street1 Lawrence, MA x"
20,162,2009-09-08,Acton,,42.4836,,-71.4418,Parker Family,1720,MA,-5:00," Acton, MA 1720"
21,164,2009-09-14,Stamford,,41.060081,222 Selleck St,-73.545097,JB Moving,6902,CT,-5:00,"222 Selleck St Stamford, CT 6902"
22,177,2009-09-30,Lancaster,,42.4851,,-71.6792,"Davis Residence - Lancaster, MA",1523,MA,-5:00," Lancaster, MA 1523"
23,183,2009-10-26,Framingham,Monnick,42.272301,759 Waverly St.,-71.429105,Monnick Supply,1702,MA,-5:00,"759 Waverly St. Framingham, MA 1702"
24,191,2009-12-08,Canon city,Lincoln,38.432633,420 Myrtle,-105.23929,Lincoln Elementary School,81212,CO,-7:00,"420 Myrtle Canon city, CO 81212"
25,195,2010-02-18,Dennis port,Stage,41.6657,411 Main Street,-70.131622,Stage Stop Candy,2639,MA,-5:00,"411 Main Street Dennis port, MA 2639"
26,197,2009-12-02,Canon city,Skyline,38.4677,2855 N. 9th St.,-105.23891,Skyline Elementary School,81212,CO,-7:00,"2855 N. 9th St. Canon city, CO 81212"
27,199,2009-11-11,Rutland,,42.3695,,-71.9481,Kennedy Residence - Rutland,1543,MA,-5:00," Rutland, MA 1543"
28,200,2009-11-03,Worcester,,42.2705,,-71.8512,Dick Residence,1602,MA,-5:00," Worcester, MA 1602"
29,206,2009-10-28,New bedford,Lighthouse,41.726449,,-70.96384499999998,Lighthouse Masonry,2747,MA,-5:00," New bedford, MA 2747"
30,207,2009-11-11,Berlin,,42.361125,,-71.62859399999998,Holiday Farm,1503,MA,-5:00," Berlin, MA 1503"
31,208,2009-11-30,West brookfield,Lapine,42.4072,,-71.3824,Lapine residence,x,MA,-5:00," West brookfield, MA x"
32,222,2010-01-06,Canon city,Canon,38.445087,1215 main Street,-105.23146,Canon City Middle School System,81212,CO,-7:00,"1215 main Street Canon city, CO 81212"
33,229,2009-12-22,Canon city,McKinley,38.431502,1240 McKinley St.,-105.21424,McKinley Elementary School,81212,CO,-7:00,"1240 McKinley St. Canon city, CO 81212"
34,238,2009-12-02,Concord,Pierce,42.459915,,-71.347799,Pierce Residence,1742,MA,-5:00," Concord, MA 1742"
35,239,2009-03-01,Canon city,Canon,38.44980200000001,1313 College Ave,-105.23292,Canon City High School,81212,CO,-7:00,"1313 College Ave Canon city, CO 81212"
36,241,2010-01-11,Canon city,Harrison,38.460568,920 Feild Avenue,-105.25342,Harrison Middle School,81212,CO,-7:00,"920 Feild Avenue Canon city, CO 81212"
37,247,2010-04-01,Northborough,Fite,42.310129,,-71.655451,Fite Residence,1532,MA,-5:00," Northborough, MA 1532"
38,253,2009-12-11,Canon city,Canon,38.46055,1030 S. 4st,-105.25359,Canon City Bus Garage,81212,CO,-7:00,"1030 S. 4st Canon city, CO 81212"
39,254,2010-01-06,Canon city,Washington,38.477871,606 N. 9th St.,-105.36821,Washington Elementary School,81212,CO,-7:00,"606 N. 9th St. Canon city, CO 81212"
40,270,2012-09-17,Harvard,Brandom,42.5164,239 Old Littleton Road,-71.5475,Brandom Residence,1451,MA,-5:00,"239 Old Littleton Road Harvard, MA 1451"
41,273,2010-03-09,Hudson,Rykbost,42.39117,,-71.567684,Rykbost Residence,1749,MA,-5:00," Hudson, MA 1749"
42,321,2010-04-07,Framingham,,42.273418,701 Waverly Street,-71.426969,Conigliaro Industries,1702,MA,-5:00,"701 Waverly Street Framingham, MA 1702"
43,330,2010-05-04,Canton,,41.818673,50 Old River Rd.,-72.92204699999998,Canton Water Pollution Control Facility,6019,CT,-5:00,"50 Old River Rd. Canton, CT 6019"
44,352,2010-04-29,Windsor,,41.851755,,-72.643514,Site 149,6095,CT,-5:00," Windsor, CT 6095"
45,375,2010-07-08,Grafton,,42.21112,24 Providence Rd.,-71.69230300000002,Grafton High School,1519,MA,-5:00,"24 Providence Rd. Grafton, MA 1519"
46,379,2010-07-15,Needham,,42.286848,307 Brookline St.,-71.22755,Kaufman-Kraft House,2492,MA,-5:00,"307 Brookline St. Needham, MA 2492"
47,393,2010-01-11,Rocky ford,Rocky,38.047023,709 S. 11th St.,-103.72032,Rocky Ford - Washington Primary School,81067,CO,-7:00,"709 S. 11th St. Rocky ford, CO 81067"
48,394,2010-06-21,Rocky ford,Rocky,38.045826,901 S. 11th St.,-103.72039,Rocky Ford - Jefferson Middle School,81067,CO,-7:00,"901 S. 11th St. Rocky ford, CO 81067"
49,396,2010-06-23,Rocky ford,Rocky,38.043964,100 W. Washington,-103.73298,Rocky Ford High School - AG Building,81067,CO,-7:00,"100 W. Washington Rocky ford, CO 81067"
50,397,2010-06-11,Rocky ford,Rocky,38.043964,100 W. Washington,-103.73298,Rocky Ford High School,81067,CO,-7:00,"100 W. Washington Rocky ford, CO 81067"
51,398,2010-05-17,Rocky ford,,38.043964,100 W. Washington,-103.73298,Rocky Ford High School - Bus Garage,81067,CO,-7:00,"100 W. Washington Rocky ford, CO 81067"
52,409,2010-06-10,Marlborough,Fix,42.346806,,-71.54799100000002,Fix Residence,1752,MA,-5:00," Marlborough, MA 1752"
53,410,2010-06-09,Jefferson,Haran_Costello,42.38034860000001,,-71.8864407,Haran-Costello Residence,1522,MA,-5:00," Jefferson, MA 1522"
54,411,2010-06-10,Lunenburg,Contaxes,42.594714,,-71.726229,Contaxes Residence,1462,MA,-5:00," Lunenburg, MA 1462"
55,412,2010-06-10,Roslindale,Gag,42.286625,,-71.13136899999998,Gag Residence,2101,MA,-5:00," Roslindale, MA 2101"
56,413,2010-06-09,Jefferson,Jefferson,42.362235,,-71.8862,"Jefferson Residence, - Jefferson, MA",1522,MA,-5:00," Jefferson, MA 1522"
57,419,2010-06-09,Westborough,Simpson,42.283096,,-71.600318,Simpson Residence,1582,MA,-5:00," Westborough, MA 1582"
58,421,2010-06-10,Holden,MSF_V,42.346587,,-71.85561700000002,MSF/V,1520,MA,-5:00," Holden, MA 1520"
59,423,2010-07-15,Westminster,Herriott,42.579587,,-71.890514,Herriott Residence,1473,MA,-5:00," Westminster, MA 1473"
60,437,2010-09-23,Woodstock,,41.954505,,-71.98105600000002,DCS#142,6281,CT,-5:00," Woodstock, CT 6281"
61,438,2010-07-02,Harvard,Arnold,42.53494,,-71.585165,Arnold Residence - Harvard,1451,MA,-5:00," Harvard, MA 1451"
62,444,2010-07-01,Framingham,,42.274484,10 Roxanna St,-71.410842,Suburban Athletic Club,1702,MA,-5:00,"10 Roxanna St Framingham, MA 1702"
63,446,2010-09-20,,Leitheiser,0.0,,0.0,Leitheiser Residence,x,,-5:00,none
64,448,2010-08-20,Revere,Savage,42.4084,,-71.012,Savage Residence,x,MA,-5:00," Revere, MA x"
65,450,2010-07-14,,Sprayregen,0.0,,0.0,Sprayregen Residence,x,,-5:00,none
66,474,2010-07-30,Hebron,,41.6581,33 Pendleton Dr,-72.3612,,6248,CT,-5:00,"33 Pendleton Dr Hebron, CT 6248"
67,482,2010-07-28,Columbia,DCS,41.6956,,-72.3074,DCS 164,6237,CT,-5:00," Columbia, CT 6237"
68,496,2010-08-13,Charlton,Nature_s,42.1425,,-71.9757,Nature's Classroom - East Lodge,1507,MA,-5:00," Charlton, MA 1507"
69,500,2010-11-01,Byfield,The,42.7497,1 Elm St.,-70.8983,The Governor's Academy - Gym,1922,MA,-5:00,"1 Elm St. Byfield, MA 1922"
70,518,2010-08-26,Sherborn,Grey,42.2583,,-71.3769,Grey Residence,1770,MA,-5:00," Sherborn, MA 1770"
71,519,2010-08-27,Northborough,Bissett,42.3483,,-71.6774,Bissett Residence,1532,MA,-5:00," Northborough, MA 1532"
72,521,2010-12-10,Pepperell,Prozeller,42.6659,,-71.5884,Prozeller Residence,1463,MA,-5:00," Pepperell, MA 1463"
73,522,2010-09-02,Gardner,Boucher,42.5775,,-71.9961,Boucher Residence - Gardner,1440,MA,-5:00," Gardner, MA 1440"
74,529,2010-09-16,Bolton,Barshak,42.4118,,-71.5776,Barshak Residence,1740,MA,-5:00," Bolton, MA 1740"
75,530,2010-10-09,Sudbury,Noyes,42.3819,280 Old Sudbury Road,-71.4103,Noyes School,1776,MA,-5:00,"280 Old Sudbury Road Sudbury, MA 1776"
76,545,2011-04-06,Chelmsford,,42.5998,50 Doak Dr.,-71.3673,Chelmsford 3G - Crooked Spring Water Treatment,1824,MA,-5:00,"50 Doak Dr. Chelmsford, MA 1824"
77,546,2011-02-22,Everett,National,42.4117,,-71.0724,"National Grid - Everett, MA 3",2149,MA,-5:00," Everett, MA 2149"
78,558,2010-11-11,Hopkinton,SED,42.2187,89 Hayden Rowe St.,-71.5157,SED - Honey Hill Farms,1748,MA,-5:00,"89 Hayden Rowe St. Hopkinton, MA 1748"
79,561,2010-11-22,Falmouth,,41.5598,,-70.624,Falmouth Academy,2540,MA,-5:00," Falmouth, MA 2540"
80,564,2010-11-30,Grafton,Meichelbeck,42.22,,-71.6445,Meichelbeck Residence,1568,MA,-5:00," Grafton, MA 1568"
81,567,2010-09-30,Moodus,,41.5089,,-72.4436,DCS 180,6469,CT,-5:00," Moodus, CT 6469"
82,569,2010-11-16,Mansfield,,41.4848,,-72.267,DCS 201,6426,CT,-5:00," Mansfield, CT 6426"
83,570,2010-10-07,Bristol,,41.6751,,-72.9224,DCS 202,6010,CT,-5:00," Bristol, CT 6010"
84,571,2010-10-03,Lebanon,,41.6418,,-72.2127,DCS 191,6249,CT,-5:00," Lebanon, CT 6249"
85,574,2010-10-15,Salem,,41.4945,,-72.2601,DCS 198,6420,CT,-5:00," Salem, CT 6420"
86,576,2010-09-24,Salem,,41.4945,,-72.2601,DCS 200,6420,CT,-5:00," Salem, CT 6420"
87,585,2011-08-01,Fall river,Precise,41.7406,927 Currant Rd,-71.1073,Precise Packaging,2720,MA,-5:00,"927 Currant Rd Fall river, MA 2720"
88,614,2010-10-30,Boston,,42.3584,924 Harrison Ave.,-71.0598,Boston Water and Sewer Commission (BWSC),2118,MA,-5:00,"924 Harrison Ave. Boston, MA 2118"
89,630,2011-08-22,Bolton,Senie,42.4334,,-71.6078,Senie Residence,1740,MA,-5:00," Bolton, MA 1740"
90,631,2010-11-03,Lebanon,,41.6418,,-72.2127,DCS 205,6249,CT,-5:00," Lebanon, CT 6249"
91,632,2010-11-19,South woodstock,,41.9379,,-71.9595,DCS 211,6267,CT,-5:00," South woodstock, CT 6267"
92,637,2011-11-18,Ashbernham,,42.6355,,-71.9097,Wright Hay Barn,1430,MA,-5:00," Ashbernham, MA 1430"
93,643,2011-03-15,Rochester,,41.7873,476 North Ave,-70.8744,Old Colony Vocational School,2770,MA,-5:00,"476 North Ave Rochester, MA 2770"
94,644,2010-11-19,Natick,Fuhro,42.2871,,-71.3592,Fuhro Residence,1760,MA,-5:00," Natick, MA 1760"
95,645,2011-09-12,Sherborn,,42.2468,26 North Main St.,-71.3687,Rose's Automotive,1770,MA,-5:00,"26 North Main St. Sherborn, MA 1770"
96,647,2010-12-08,Harvard,Beale,42.5523,,-71.5726,Beale Residence,1415,MA,-5:00," Harvard, MA 1415"
97,655,2010-12-16,Oxford,Great,41.4233,50 Great Oak Rd.,-73.1402,Great Oak Middle School,6478,CT,-5:00,"50 Great Oak Rd. Oxford, CT 6478"
98,669,2011-04-19,Grafton,Hill,42.1993,,-71.6792,Hill Residence,1519,MA,-5:00," Grafton, MA 1519"
99,682,2011-02-22,Everett,National,42.4117,,-71.0724,"National Grid - Everett, MA",2149,MA,-5:00," Everett, MA 2149"
100,694,2011-01-07,Belmont,Brownsberger,42.3959,,-71.1787,Brownsberger Residence,x,MA,-5:00," Belmont, MA x"
101,695,2010-12-21,Ashland,,42.2611,159 Chestnut St.,-71.4639,Boston BioProducts,1721,MA,-5:00,"159 Chestnut St. Ashland, MA 1721"
102,704,2010-10-19,Colchester,,41.5757,,-72.332,DCS 262,6415,CT,-5:00," Colchester, CT 6415"
103,706,2011-01-13,East granby,,41.9543,,-72.3023,DCS 250,6026,CT,-5:00," East granby, CT 6026"
104,708,2010-12-03,Woodstock,McHenry,42.3147,2200 N. Seminary Ave.,-88.4487,McHenry County Administration Building,60098,IL,-6:00,"2200 N. Seminary Ave. Woodstock, IL 60098"
105,715,2010-12-21,Revere,National,42.4191,24 Railroad Ave.,-71.0086,"National Grid - Revere, MA",2151,MA,-5:00,"24 Railroad Ave. Revere, MA 2151"
106,716,2010-12-29,Haverhill,National,42.7952,89 Hilldale Ave.,-71.0576,National Grid - Haverhill,1832,MA,-5:00,"89 Hilldale Ave. Haverhill, MA 1832"
107,726,2011-01-06,Cromwell,Edna,41.62,25 Court Street,-72.6583,Edna C. Stevens Elementary School,6416,CT,-5:00,"25 Court Street Cromwell, CT 6416"
108,744,2011-07-19,East hanover,,40.8193,220 Merry Lane,-74.3457,Weiss - Aug,7936,NJ,-5:00,"220 Merry Lane East hanover, NJ 7936"
109,761,2012-12-01,Harvard,,42.4972,27 Mass Ave,-71.5826,Hildreth Elementary School,1451,MA,-5:00,"27 Mass Ave Harvard, MA 1451"
110,788,2011-04-19,Southbridge,Santos,42.0751,,-72.0334,Santos Residence,x,MA,-5:00," Southbridge, MA x"
111,791,2011-02-18,Westborough,Westborough,42.2752,113 Milk St,-71.6229,Westborough Solar Farm,x,MA,-5:00,"113 Milk St Westborough, MA x"
112,806,2011-03-28,Hanover,,42.1223,596 Washington Street,-70.8251,Planet Subaru,2339,MA,-5:00,"596 Washington Street Hanover, MA 2339"
113,812,2010-12-21,Revere,National,42.4191,,-71.0086,"National Grid - Revere, MA 2",2151,MA,-5:00," Revere, MA 2151"
114,820,2011-01-08,Stamford,,41.1404,641 Scofieldtown Road,-73.5564,Scofield Magnet School,6901,CT,-5:00,"641 Scofieldtown Road Stamford, CT 6901"
115,843,2011-03-29,North andover,Brooks,42.6696,,-71.0854,Brooks School,1845,MA,-5:00," North andover, MA 1845"
116,853,2011-02-22,Everett,National,42.4117,,-71.0724,"National Grid - Everett, MA 2",2149,MA,-5:00," Everett, MA 2149"
117,860,2011-04-13,Rincon,Effingham,32.296,2940 Highway 21 S.,-81.2354,,31326,GA,-5:00,"2940 Highway 21 S. Rincon, GA 31326"
118,862,2011-04-26,Ashburnham,Leblanc,42.6682,,-71.9283,Leblanc Residence - Ashburnham,1430,MA,-5:00," Ashburnham, MA 1430"
119,863,2011-05-02,Ashburnham,Wright,42.6682,,-71.9283,Wright Residence - Ashburnham,1430,MA,-5:00," Ashburnham, MA 1430"
120,864,2011-04-24,Acton,Lewin_Berlin,42.4836,,-71.4418,Lewin-Berlin Residence,1720,MA,-5:00," Acton, MA 1720"
121,866,2011-09-15,Billerica,,42.5465,1100 Technology Park Dr,-71.2518,GE Sensing,1821,MA,-5:00,"1100 Technology Park Dr Billerica, MA 1821"
122,867,2010-11-22,Rutland,Zglobicki,42.3695,,-71.9481,Zglobicki Residence,x,MA,-5:00," Rutland, MA x"
123,870,2011-04-22,Ashland,Shander_Reynolds,42.2611,,-71.4639,Shander-Reynolds,x,MA,-5:00," Ashland, MA x"
124,871,2010-12-29,Haverhill,National,42.7762,,-71.0773,National Grid - Haverhill 2,1830,MA,-5:00," Haverhill, MA 1830"
125,880,2011-04-28,Cromwell,Cromwell,41.6275,6 Mann Memorial Dr.,-72.6562,Cromwell Middle School,6416,CT,-5:00,"6 Mann Memorial Dr. Cromwell, CT 6416"
126,895,2010-12-29,Haverhill,National,42.7762,,-71.0773,National Grid - Haverhill 3,1830,MA,-5:00," Haverhill, MA 1830"
127,918,2011-05-24,Dedham,Dedham,42.2418,140 Whiting Ave.,-71.1662,Dedham High School,2026,MA,-5:00,"140 Whiting Ave. Dedham, MA 2026"
128,919,2011-05-24,Fall river,,41.7469,1140 Airport Rd.,-71.1106,Precise Packaging Inc.,2720,MA,-5:00,"1140 Airport Rd. Fall river, MA 2720"
129,920,2011-08-05,Milford,,42.1398,393 Fortune Blvd.,-71.5162,Clarke Distribution Corporation,1757,MA,-5:00,"393 Fortune Blvd. Milford, MA 1757"
130,935,2011-06-06,Leominster,Erb,42.5251,,-71.7598,Erb Residence,1453,MA,-5:00," Leominster, MA 1453"
131,948,2011-06-16,Framingham,Saxonville,42.3251,2 Central St.,-71.4001,Saxonville Mill,10702,MA,-5:00,"2 Central St. Framingham, MA 10702"
132,977,2011-07-18,Lincoln,GEM,41.911,1 Wellington Rd.,-71.4418,,2865,RI,-5:00,"1 Wellington Rd. Lincoln, RI 2865"
133,979,2011-07-21,Franklin,JEM,42.0834,23 National Dr.,-71.3967,"JEM Electronics, Inc.",2038,MA,-5:00,"23 National Dr. Franklin, MA 2038"
134,988,2011-08-04,Santa barbara,Hope,34.4447,,-119.754,Hope School District,93101,CA,-8:00," Santa barbara, CA 93101"
135,1011,2011-08-12,Hyannis,,41.701,617 Bearses Way,-70.3063,Barnstable - WPCF,2601,MA,-5:00,"617 Bearses Way Hyannis, MA 2601"
136,1015,2011-08-25,Acton,Mangeolle,42.485,,-71.4333,Mangeolle Residence,1720,MA,-5:00," Acton, MA 1720"
137,1017,2011-08-26,Harvard,Williams,42.5,,-71.5833,Williams Residence,1451,MA,-5:00," Harvard, MA 1451"
138,1018,2011-08-29,Rutland,Lussier,42.3694,,-71.9486,Lussier Residence,1543,MA,-5:00," Rutland, MA 1543"
139,1028,2011-08-26,Fitchburg,,42.5561,640 Crawford St.,-71.7531,Hi-Gear,1420,MA,-5:00,"640 Crawford St. Fitchburg, MA 1420"
140,1036,2011-09-07,Ashburham,St,42.6682,,-71.9283,St Cyr Residence,1430,MA,-5:00," Ashburham, MA 1430"
141,1037,2011-09-29,Harvard,Tonge,42.5,,-71.5833,Tonge Residence,1451,MA,-5:00," Harvard, MA 1451"
142,1049,2011-08-16,Ashland,126,42.2493,162 Pond Street,-71.4284,126 Self Storage - 481kW,1721,MA,-5:00,"162 Pond Street Ashland, MA 1721"
143,1053,2011-09-14,Northboro,Hogan,42.3289,,-71.6555,Hogan Residence,1532,MA,-5:00," Northboro, MA 1532"
144,1068,2011-09-27,Harvard,Landeryou,42.5,,-71.5833,Landeryou Residence,1451,MA,-5:00," Harvard, MA 1451"
145,1069,2011-09-27,Harvard,Clark,42.5,,-71.5833,Clark Residence - Harvard,1451,MA,-5:00," Harvard, MA 1451"
146,1070,2011-09-27,Harvard,Tuttle,42.5,,-71.5833,Tuttle Residence,1451,MA,-5:00," Harvard, MA 1451"
147,1071,2011-09-27,Harvard,Aciukewicz,42.5,,-71.5833,Aciukewicz Residence,1451,MA,-5:00," Harvard, MA 1451"
148,1075,2011-09-29,Harvard,M,42.5,,-71.5833,M Taylor Residence,1451,MA,-5:00," Harvard, MA 1451"
149,1076,2011-09-29,Harvard,Basile,42.5,,-71.5833,Basile Residence,1451,MA,-5:00," Harvard, MA 1451"
150,1077,2011-09-29,Harvard,Marder,42.4923,224 Still River Rd.,-71.6173,Marder PV,1467,MA,-5:00,"224 Still River Rd. Harvard, MA 1467"
151,1093,2011-12-22,Smyrna,Smyrna,35.9828,278 Doug Warpoole Rd.,-86.5186,Smyrna LLC / Rutherford County Airport,37167,TN,-6:00,"278 Doug Warpoole Rd. Smyrna, TN 37167"
152,1097,2011-10-12,Billerica,EMD,42.5281,45A Middlesex Tpke.,-71.2572,EMD Serono Research Center,1821,MA,-5:00,"45A Middlesex Tpke. Billerica, MA 1821"
153,1103,2011-10-13,Ashbernham,Eddy,42.6355,,-71.9097,Eddy Residence,1430,MA,-5:00," Ashbernham, MA 1430"
154,1113,2011-10-17,Baltimore,Arbors,39.3515,11550 Crossroads Circle,-76.3753,Arbors at Baltimore Crossroads,21220,MD,-5:00,"11550 Crossroads Circle Baltimore, MD 21220"
155,1126,2011-10-24,New bedford,Victoria,41.6382,10 Manomet St,-70.9368,Victoria Riverside LLC,2740,MA,-5:00,"10 Manomet St New bedford, MA 2740"
156,1130,2012-08-22,Millbury,,42.7015,50 Route 20,-71.1249,Upper Blackstone Water Pollution Abatement District,1527,MA,-5:00,"50 Route 20 Millbury, MA 1527"
157,1135,2011-12-19,Dorchester,National,42.2905,220 Victory Rd.,-71.0415,National Grid - Dorchester,2122,MA,-5:00,"220 Victory Rd. Dorchester, MA 2122"
158,1138,2011-11-01,Acton,,42.485,,-71.4333,Chigas Residence,1720,MA,-5:00," Acton, MA 1720"
159,1163,2012-07-24,Charlton,OMA,42.1447,157 Worcester Rd,-71.9653,OMA Group,1507,MA,-5:00,"157 Worcester Rd Charlton, MA 1507"
160,1168,2011-11-17,Fitchburg,Paradise,42.5834,,-71.8023,Paradise Residence,1420,MA,-5:00," Fitchburg, MA 1420"
161,1203,2011-12-06,Harvard,Ames,42.5,,-71.5833,Ames Residence,1451,MA,-5:00," Harvard, MA 1451"
162,1209,2011-08-03,Sandston,Million,37.5077,,-77.252,Million Air,23150,VA,-5:00," Sandston, VA 23150"
163,1213,2011-12-14,Fitchburg,Tuomala,42.5834,,-71.8023,Tuomala Residence,1420,MA,-5:00," Fitchburg, MA 1420"
164,1214,2011-12-14,Harvard,Snyder,42.5,,-71.5833,Snyder G Residence - Harvard,1451,MA,-5:00," Harvard, MA 1451"
165,1215,2011-12-14,Harvard,Durham,42.5,,-71.5833,Durham Residence,1451,MA,-5:00," Harvard, MA 1451"
166,1216,2011-12-14,Harvard,Taylor,42.5,,-71.5833,Taylor G Residence,1451,MA,-5:00," Harvard, MA 1451"
167,1217,2011-12-14,Harvard,Jackson,42.5,,-71.5833,Jackson P Residence,1451,MA,-5:00," Harvard, MA 1451"
168,1218,2011-12-14,Harvard,Poutasse,42.5,,-71.5833,Poutasse Residence,1451,MA,-5:00," Harvard, MA 1451"
169,1233,2011-12-20,Harvard,Chen,42.5,,-71.5833,Chen Residence,1451,MA,-5:00," Harvard, MA 1451"
170,1234,2011-12-21,Bolton,Ross,42.4773,,-71.5865,Ross Residence,1470,MA,-5:00," Bolton, MA 1470"
171,1235,2011-12-21,West brookfield,CBIS,42.2293,29 Freight House Rd.,-72.1455,CBIS Inc.,1585,MA,-5:00,"29 Freight House Rd. West brookfield, MA 1585"
172,1237,2011-12-21,Colorado springs,,38.982592,,-104.73349,Colorado Solar Garden,80911,CO,-7:00," Colorado springs, CO 80911"
173,1238,2012-01-03,Acton,100,42.4718,100 Discovery Way,-71.44,100 Discovery Way,1742,MA,-5:00,"100 Discovery Way Acton, MA 1742"
174,1239,2012-01-04,Harvard,Lancelotti,42.5,,-71.5833,Lancelotti,1451,MA,-5:00," Harvard, MA 1451"
175,1240,2012-01-04,Harvard,Ware_McCarthy,42.5,,-71.5833,Ware-McCarthy Residence,1451,MA,-5:00," Harvard, MA 1451"
176,1241,2012-01-04,Harvard,Kronauer,42.5,,-71.5833,Kronauer Residence,1451,MA,-5:00," Harvard, MA 1451"
177,1242,2012-01-04,Harvard,Leicher,42.5,,-71.5833,Leicher Residence,1451,MA,-5:00," Harvard, MA 1451"
178,1243,2012-01-04,Harvard,Hughes,42.5,,-71.5833,Hughes Residence,1451,MA,-5:00," Harvard, MA 1451"
179,1244,2012-01-04,Acton,Gould_s,42.5074,,-71.5843,Gould's Plaza,1451,MA,-5:00," Acton, MA 1451"
180,1251,2012-01-11,Worcester,Creedon,42.2476,"39 Jolma Road,",-71.7562,Creedon Co.,1601,MA,-5:00,"39 Jolma Road, Worcester, MA 1601"
181,1281,2012-01-23,Harvard,Hermann,42.5,32 Madiagan Ln,-71.5833,Hermann Crystoff,1451,MA,-5:00,"32 Madiagan Ln Harvard, MA 1451"
182,1282,2012-01-23,Harvard,Cutler,42.5,,-71.5833,Cutler Residence,1451,MA,-5:00," Harvard, MA 1451"
183,1283,2012-01-23,Harvard,Harasimowicz,42.5,,-71.5833,Harasimowicz Residence,1451,MA,-5:00," Harvard, MA 1451"
184,1301,2012-02-06,Franklin,,42.707,,-71.1631,Barrett Distribution,2038,MA,-5:00," Franklin, MA 2038"
185,1312,2012-02-14,Harvard,Thornton,42.5,,-71.5833,Thornton Residence,1451,MA,-5:00," Harvard, MA 1451"
186,1313,2012-02-14,Harvard,Dangle_Gordon,42.5,,-71.5833,Dangle-Gordon Residence,1451,MA,-5:00," Harvard, MA 1451"
187,1314,2012-02-14,Harvard,Nigzus_,42.5,,-71.5833,"Nigzus, C Residence",1451,MA,-5:00," Harvard, MA 1451"
188,1315,2012-02-21,Leominster,LGA,42.53100000000001,300 Whitney St.,-71.752,LGA,1453,MA,-5:00,"300 Whitney St. Leominster, MA 1453"
189,1325,2011-08-05,Sutton,Ray,42.15,,-71.7633,Ray Residence - Sutton,1590,MA,-5:00," Sutton, MA 1590"
190,1334,2013-02-01,Rincon de salas,,10.02893,2km Este De La Fanal,-84.329665,Mimosa,x,GRECIA,-6:00,"2km Este De La Fanal Rincon de salas, GRECIA x"
