site_id,name,activationDate,line1,city,state,postal,timezone,latitude,longitude,csv_name,size
438,Arnold Residence - Harvard,2010-07-02,,Harvard,MA,1451,-5:00,42.53494,-71.585165,Arnold,8.82
444,Suburban Athletic Club,2010-07-01,10 Roxanna St,Framingham,MA,1702,-5:00,42.274484,-71.410842,,
446,Leitheiser Residence,2010-09-20,,,,,-5:00,,,Leitheiser,3.87
448,Savage Residence,2010-08-20,,Revere,MA,,-5:00,42.4084,-71.012,Savage,3.6
450,Sprayregen Residence,2010-07-14,,,,,-5:00,,,Sprayregen,5.88
474,,2010-07-30,33 Pendleton Dr,Hebron,CT,6248,-5:00,41.6581,-72.3612,,
482,DCS 164,2010-07-28,,Columbia,CT,6237,-5:00,41.6956,-72.3074,DCS,4.92
496,Nature's Classroom - East Lodge,2010-08-13,,Charlton,MA,1507,-5:00,42.1425,-71.9757,Nature_s,15.12
500,The Governor's Academy - Gym,2010-11-01,1 Elm St.,Byfield,MA,1922,-5:00,42.7497,-70.8983,The,32.34
518,Grey Residence,2010-08-26,,Sherborn,MA,1770,-5:00,42.2583,-71.3769,Grey,5.04
519,Bissett Residence,2010-08-27,,Northborough,MA,1532,-5:00,42.3483,-71.6774,Bissett,3.6
521,Prozeller Residence,2010-12-10,,Pepperell,MA,1463,-5:00,42.6659,-71.5884,Prozeller,5.04
522,Boucher Residence - Gardner,2010-09-02,,Gardner,MA,1440,-5:00,42.5775,-71.9961,Boucher,5.04
529,Barshak Residence,2010-09-16,,Bolton,MA,1740,-5:00,42.4118,-71.5776,Barshak,5.04
530,Noyes School,2010-10-09,280 Old Sudbury Road,Sudbury,MA,1776,-5:00,42.3819,-71.4103,Noyes,2.94
545,Chelmsford 3G - Crooked Spring Water Treatment,2011-04-06,50 Doak Dr.,Chelmsford,MA,1824,-5:00,42.5998,-71.3673,,
546,"National Grid - Everett, MA 3",2011-02-22,,Everett,MA,2149,-5:00,42.4117,-71.0724,National,
558,SED - Honey Hill Farms,2010-11-11,89 Hayden Rowe St.,Hopkinton,MA,1748,-5:00,42.2187,-71.5157,SED,
561,Falmouth Academy,2010-11-22,,Falmouth,MA,2540,-5:00,41.5598,-70.624,,76.59
564,Meichelbeck Residence,2010-11-30,,Grafton,MA,1568,-5:00,42.22,-71.6445,Meichelbeck,9.72
567,DCS 180,2010-09-30,,Moodus,CT,6469,-5:00,41.5089,-72.4436,,
569,DCS 201,2010-11-16,,Mansfield,CT,6426,-5:00,41.4848,-72.267,,
570,DCS 202,2010-10-07,,Bristol,CT,6010,-5:00,41.6751,-72.9224,,
571,DCS 191,2010-10-03,,Lebanon,CT,6249,-5:00,41.6418,-72.2127,,
574,DCS 198,2010-10-15,,Salem,CT,6420,-5:00,41.4945,-72.2601,,
576,DCS 200,2010-09-24,,Salem,CT,6420,-5:00,41.4945,-72.2601,,
585,Precise Packaging,2011-08-01,927 Currant Rd,Fall river,MA,2720,-5:00,41.7406,-71.1073,Precise,112.32
614,Boston Water and Sewer Commission (BWSC),2010-10-30,924 Harrison Ave.,Boston,MA,2118,-5:00,42.3584,-71.0598,,
630,Senie Residence,2011-08-22,,Bolton,MA,1740,-5:00,42.4334,-71.6078,Senie,3.33
631,DCS 205,2010-11-03,,Lebanon,CT,6249,-5:00,41.6418,-72.2127,,
632,DCS 211,2010-11-19,,South woodstock,CT,6267,-5:00,41.9379,-71.9595,,
637,Wright Hay Barn,2011-11-18,,Ashbernham,MA,1430,-5:00,42.6355,-71.9097,,
643,Old Colony Vocational School,2011-03-15,476 North Ave,Rochester,MA,2770,-5:00,41.7873,-70.8744,,
644,Fuhro Residence,2010-11-19,,Natick,MA,1760,-5:00,42.2871,-71.3592,Fuhro,2.88
645,Rose's Automotive,2011-09-12,26 North Main St.,Sherborn,MA,1770,-5:00,42.2468,-71.3687,,
647,Beale Residence,2010-12-08,,Harvard,MA,1415,-5:00,42.5523,-71.5726,Beale,6.48
655,Great Oak Middle School,2010-12-16,50 Great Oak Rd.,Oxford,CT,6478,-5:00,41.4233,-73.1402,Great,76.05
669,Hill Residence,2011-04-19,,Grafton,MA,1519,-5:00,42.1993,-71.6792,Hill,5.18
682,"National Grid - Everett, MA",2011-02-22,,Everett,MA,2149,-5:00,42.4117,-71.0724,National,594.44
694,Brownsberger Residence,2011-01-07,,Belmont,MA,,-5:00,42.3959,-71.1787,Brownsberger,4.62
695,Boston BioProducts,2010-12-21,159 Chestnut St.,Ashland,MA,1721,-5:00,42.2611,-71.4639,,
704,DCS 262,2010-10-19,,Colchester,CT,6415,-5:00,41.5757,-72.332,,
706,DCS 250,2011-01-13,,East granby,CT,6026,-5:00,41.9543,-72.3023,,
708,McHenry County Administration Building,2010-12-03,2200 N. Seminary Ave.,Woodstock,IL,60098,-6:00,42.3147,-88.4487,McHenry,
715,"National Grid - Revere, MA",2010-12-21,24 Railroad Ave.,Revere,MA,2151,-5:00,42.4191,-71.0086,National,739.2
716,National Grid - Haverhill,2010-12-29,89 Hilldale Ave.,Haverhill,MA,1832,-5:00,42.7952,-71.0576,National,1016.4
726,Edna C. Stevens Elementary School,2011-01-06,25 Court Street,Cromwell,CT,6416,-5:00,41.62,-72.6583,Edna,184.8
744,Weiss - Aug,2011-07-19,220 Merry Lane,East hanover,NJ,7936,-5:00,40.8193,-74.3457,,
761,Hildreth Elementary School,2012-12-01,27 Mass Ave,Harvard,MA,1451,-5:00,42.4972,-71.5826,,
788,Santos Residence,2011-04-19,,Southbridge,MA,,-5:00,42.0751,-72.0334,Santos,5.04
791,Westborough Solar Farm,2011-02-18,113 Milk St,Westborough,MA,,-5:00,42.2752,-71.6229,Westborough,240.24
806,Planet Subaru,2011-03-28,596 Washington Street,Hanover,MA,2339,-5:00,42.1223,-70.8251,,78.75
812,"National Grid - Revere, MA 2",2010-12-21,,Revere,MA,2151,-5:00,42.4191,-71.0086,National,
820,Scofield Magnet School,2011-01-08,641 Scofieldtown Road,Stamford,CT,6901,-5:00,41.1404,-73.5564,,
843,Brooks School,2011-03-29,,North andover,MA,1845,-5:00,42.6696,-71.0854,Brooks,80.0
853,"National Grid - Everett, MA 2",2011-02-22,,Everett,MA,2149,-5:00,42.4117,-71.0724,National,
860,,2011-04-13,2940 Highway 21 S.,Rincon,GA,31326,-5:00,32.296,-81.2354,Effingham,40.32
862,Leblanc Residence - Ashburnham,2011-04-26,,Ashburnham,MA,1430,-5:00,42.6682,-71.9283,Leblanc,9.4
863,Wright Residence - Ashburnham,2011-05-02,,Ashburnham,MA,1430,-5:00,42.6682,-71.9283,Wright,9.4
864,Lewin-Berlin Residence,2011-04-24,,Acton,MA,1720,-5:00,42.4836,-71.4418,Lewin_Berlin,5.92
866,GE Sensing,2011-09-15,1100 Technology Park Dr,Billerica,MA,1821,-5:00,42.5465,-71.2518,,
867,Zglobicki Residence,2010-11-22,,Rutland,MA,,-5:00,42.3695,-71.9481,Zglobicki,
870,Shander-Reynolds,2011-04-22,,Ashland,MA,,-5:00,42.2611,-71.4639,Shander_Reynolds,
871,National Grid - Haverhill 2,2010-12-29,,Haverhill,MA,1830,-5:00,42.7762,-71.0773,National,1016.4
880,Cromwell Middle School,2011-04-28,6 Mann Memorial Dr.,Cromwell,CT,6416,-5:00,41.6275,-72.6562,Cromwell,166.38
895,National Grid - Haverhill 3,2010-12-29,,Haverhill,MA,1830,-5:00,42.7762,-71.0773,National,1016.4
918,Dedham High School,2011-05-24,140 Whiting Ave.,Dedham,MA,2026,-5:00,42.2418,-71.1662,Dedham,121.26
919,Precise Packaging Inc.,2011-05-24,1140 Airport Rd.,Fall river,MA,2720,-5:00,41.7469,-71.1106,,278.88
920,Clarke Distribution Corporation,2011-08-05,393 Fortune Blvd.,Milford,MA,1757,-5:00,42.1398,-71.5162,,460.8
935,Erb Residence,2011-06-06,,Leominster,MA,1453,-5:00,42.5251,-71.7598,Erb,
948,Saxonville Mill,2011-06-16,2 Central St.,Framingham,MA,10702,-5:00,42.3251,-71.4001,Saxonville,500.9
977,,2011-07-18,1 Wellington Rd.,Lincoln,RI,2865,-5:00,41.911,-71.4418,GEM,57.33
979,"JEM Electronics, Inc.",2011-07-21,23 National Dr.,Franklin,MA,2038,-5:00,42.0834,-71.3967,JEM,206.08
988,Hope School District,2011-08-04,,Santa barbara,CA,93101,-8:00,34.4447,-119.75399999999999,Hope,234.0
1011,Barnstable - WPCF,2011-08-12,617 Bearses Way,Hyannis,MA,2601,-5:00,41.701,-70.3063,,
1015,Mangeolle Residence,2011-08-25,,Acton,MA,1720,-5:00,42.485,-71.4333,Mangeolle,5.4
1017,Williams Residence,2011-08-26,,Harvard,MA,1451,-5:00,42.5,-71.5833,Williams,8.88
1018,Lussier Residence,2011-08-29,,Rutland,MA,1543,-5:00,42.3694,-71.9486,Lussier,9.99
1028,Hi-Gear,2011-08-26,640 Crawford St.,Fitchburg,MA,1420,-5:00,42.5561,-71.7531,,
1036,St Cyr Residence,2011-09-07,,Ashburham,MA,1430,-5:00,42.6682,-71.9283,St,4.73
1037,Tonge Residence,2011-09-29,,Harvard,MA,1451,-5:00,42.5,-71.5833,Tonge,6.66
1049,126 Self Storage - 481kW,2011-08-16,162 Pond Street,Ashland,MA,1721,-5:00,42.2493,-71.4284,126,480.7
1053,Hogan Residence,2011-09-14,,Northboro,MA,1532,-5:00,42.3289,-71.6555,Hogan,7.04
1068,Landeryou Residence,2011-09-27,,Harvard,MA,1451,-5:00,42.5,-71.5833,Landeryou,5.18
1069,Clark Residence - Harvard,2011-09-27,,Harvard,MA,1451,-5:00,42.5,-71.5833,Clark,3.33
1070,Tuttle Residence,2011-09-27,,Harvard,MA,1451,-5:00,42.5,-71.5833,Tuttle,2.59
1071,Aciukewicz Residence,2011-09-27,,Harvard,MA,1451,-5:00,42.5,-71.5833,Aciukewicz,3.7
1075,M Taylor Residence,2011-09-29,,Harvard,MA,1451,-5:00,42.5,-71.5833,M,5.0
1076,Basile Residence,2011-09-29,,Harvard,MA,1451,-5:00,42.5,-71.5833,Basile,7.77
1077,Marder PV,2011-09-29,224 Still River Rd.,Harvard,MA,1467,-5:00,42.4923,-71.6173,Marder,5.92
1093,Smyrna LLC / Rutherford County Airport,2011-12-22,278 Doug Warpoole Rd.,Smyrna,TN,37167,-6:00,35.9828,-86.5186,Smyrna,996.22
1097,EMD Serono Research Center,2011-10-12,45A Middlesex Tpke.,Billerica,MA,1821,-5:00,42.5281,-71.2572,EMD,10.08
1103,Eddy Residence,2011-10-13,,Ashbernham,MA,1430,-5:00,42.6355,-71.9097,Eddy,9.24
1113,Arbors at Baltimore Crossroads,2011-10-17,11550 Crossroads Circle,Baltimore,MD,21220,-5:00,39.3515,-76.3753,Arbors,
1126,Victoria Riverside LLC,2011-10-24,10 Manomet St,New bedford,MA,2740,-5:00,41.6382,-70.9368,Victoria,198.0
1130,Upper Blackstone Water Pollution Abatement District,2012-08-22,50 Route 20,Millbury,MA,1527,-5:00,42.7015,-71.1249,,
1135,National Grid - Dorchester,2011-12-19,220 Victory Rd.,Dorchester,MA,2122,-5:00,42.2905,-71.0415,National,
1138,Chigas Residence,2011-11-01,,Acton,MA,1720,-5:00,42.485,-71.4333,,
1163,OMA Group,2012-07-24,157 Worcester Rd,Charlton,MA,1507,-5:00,42.1447,-71.9653,OMA,997.92
1168,Paradise Residence,2011-11-17,,Fitchburg,MA,1420,-5:00,42.5834,-71.8023,Paradise,5.4
1203,Ames Residence,2011-12-06,,Harvard,MA,1451,-5:00,42.5,-71.5833,Ames,
1209,Million Air,2011-08-03,,Sandston,VA,23150,-5:00,37.5077,-77.252,Million,
1213,Tuomala Residence,2011-12-14,,Fitchburg,MA,1420,-5:00,42.5834,-71.8023,Tuomala,6.66
1214,Snyder G Residence - Harvard,2011-12-14,,Harvard,MA,1451,-5:00,42.5,-71.5833,Snyder,7.77
1215,Durham Residence,2011-12-14,,Harvard,MA,1451,-5:00,42.5,-71.5833,Durham,7.77
1216,Taylor G Residence,2011-12-14,,Harvard,MA,1451,-5:00,42.5,-71.5833,Taylor,3.7
1217,Jackson P Residence,2011-12-14,,Harvard,MA,1451,-5:00,42.5,-71.5833,Jackson,3.7
1218,Poutasse Residence,2011-12-14,,Harvard,MA,1451,-5:00,42.5,-71.5833,Poutasse,5.0
1233,Chen Residence,2011-12-20,,Harvard,MA,1451,-5:00,42.5,-71.5833,Chen,5.0
1234,Ross Residence,2011-12-21,,Bolton,MA,1470,-5:00,42.4773,-71.5865,Ross,6.11
1235,CBIS Inc.,2011-12-21,29 Freight House Rd.,West brookfield,MA,1585,-5:00,42.2293,-72.1455,CBIS,373.75
1237,Colorado Solar Garden,2011-12-21,,Colorado springs,CO,80911,-7:00,38.982592,-104.73349,,
1238,100 Discovery Way,2012-01-03,100 Discovery Way,Acton,MA,1742,-5:00,42.4718,-71.44,100,
1239,Lancelotti,2012-01-04,,Harvard,MA,1451,-5:00,42.5,-71.5833,Lancelotti,2.96
1240,Ware-McCarthy Residence,2012-01-04,,Harvard,MA,1451,-5:00,42.5,-71.5833,Ware_McCarthy,6.66
1241,Kronauer Residence,2012-01-04,,Harvard,MA,1451,-5:00,42.5,-71.5833,Kronauer,6.66
1242,Leicher Residence,2012-01-04,,Harvard,MA,1451,-5:00,42.5,-71.5833,Leicher,4.44
1243,Hughes Residence,2012-01-04,,Harvard,MA,1451,-5:00,42.5,-71.5833,Hughes,2.96
1244,Gould's Plaza,2012-01-04,,Acton,MA,1451,-5:00,42.5074,-71.5843,Gould_s,42.55
1251,Creedon Co.,2012-01-11,"39 Jolma Road,",Worcester,MA,1601,-5:00,42.2476,-71.7562,Creedon,126.73
1281,Hermann Crystoff,2012-01-23,32 Madiagan Ln,Harvard,MA,1451,-5:00,42.5,-71.5833,Hermann,3.33
1282,Cutler Residence,2012-01-23,,Harvard,MA,1451,-5:00,42.5,-71.5833,Cutler,6.11
1283,Harasimowicz Residence,2012-01-23,,Harvard,MA,1451,-5:00,42.5,-71.5833,Harasimowicz,5.18
1301,Barrett Distribution,2012-02-06,,Franklin,MA,2038,-5:00,42.707,-71.1631,,
1312,Thornton Residence,2012-02-14,,Harvard,MA,1451,-5:00,42.5,-71.5833,Thornton,6.66
1313,Dangle-Gordon Residence,2012-02-14,,Harvard,MA,1451,-5:00,42.5,-71.5833,Dangle_Gordon,5.55
1314,"Nigzus, C Residence",2012-02-14,,Harvard,MA,1451,-5:00,42.5,-71.5833,Nigzus_,3.89
1315,LGA,2012-02-21,300 Whitney St.,Leominster,MA,1453,-5:00,42.531000000000006,-71.752,LGA,255.64
1325,Ray Residence - Sutton,2011-08-05,,Sutton,MA,1590,-5:00,42.15,-71.7633,Ray,5.18
1334,Mimosa,2013-02-01,2km Este De La Fanal,Rincon de salas,GRECIA,,-6:00,10.02893,-84.329665,,
1347,Winnco,2012-03-20,2 Winnco Dr.,San antonio,TX,78218,-6:00,29.5481,-98.3633,Winnco,624.68
1353,Thurlow Residence,2012-03-22,,Spencer,MA,1562,-5:00,42.244,-71.9923,Thurlow,3.7
1356,Alstom Power 56.16,2012-03-26,1119 Riverfront Parkway,Chattanooga,TN,37402,-5:00,35.0485,-85.3252,,
1369,Quarles Residence,2012-04-06,,Harvard,MA,1451,-5:00,42.5,-71.5833,Quarles,2.59
1376,Besse Residence,2012-04-20,,Harvard,MA,1451,-5:00,42.5,-71.5833,Besse,5.7
1377,Turner Residence,2012-08-22,,Harvard,MA,1451,-5:00,42.5,-71.5833,Turner,5.18
1378,Broadbent Residence,2013-05-15,,Harvard,MA,1451,-5:00,42.5,-71.5833,Broadbent,4.56
1379,Buhner Residence,2012-07-17,,Harvard,MA,1451,-5:00,42.5,-71.5833,Buhner,6.84
1380,CWM / TH,2012-06-15,,Harvard,MA,1451,-5:00,42.5,-71.5833,CWM,9.99
1381,McAlpine Residence,2012-04-25,,Harvard,MA,1451,-5:00,42.5,-71.5833,McAlpine,4.56
1382,Milford Residence,2012-05-07,,Harvard,MA,1451,-5:00,42.5,-71.5833,Milford,3.42
1383,Colarossi Residence,2012-08-03,,Stow,MA,1775,-5:00,42.5,-71.5833,Colarossi,9.5
1384,Poledo Residence,2012-06-29,,Harvard,MA,1451,-5:00,42.5,-71.5833,Poledo,
1385,Warner Residence,2012-07-25,,Harvard,MA,1451,-5:00,42.5,-71.5833,Warner,3.42
1398,Lee Residence,2012-04-23,,Harvard,MA,1451,-5:00,42.5,-71.5833,Lee,2.59
1406,Acorn Animal Hospital,2012-05-08,,Franklin,MA,2038,-5:00,42.0834,-71.3967,Acorn,19.8
1439,Spector Textile (10 Embankment),2012-06-06,31 Water St.,Lawrence,MA,1841,-5:00,42.7069,-71.1654,Spector,370.5
1443,Minar,2012-06-08,,Harvard,MA,1451,-5:00,42.5,-71.5833,Minar,4.18
1444,15 Union Street,2012-03-21,15 Union St.,Lawrence,MA,1840,-5:00,42.70766939999999,-71.15304300000001,15,588.82
1459,Noble Residence,2012-06-19,,Harvard,MA,1451,-5:00,42.5,-71.5833,Noble,4.44
1466,Streich Residence,2012-07-12,73 Wetherbee Rd.,Waltham,MA,2453,-5:00,42.3697,-71.2642,,
1471,Hearne Residence,2012-07-24,885 New London Road,Newark,DE,19711,-5:00,39.7131,-75.7828,,
1479,17 Shepard Street,2012-08-11,17 Shepard St.,Lawrence,MA,1843,-5:00,42.714,-71.1656,17,
1509,Degrand Residence,2012-07-25,,Grafton,MA,1519,-5:00,42.1993,-71.6792,Degrand,6.66
1535,Dean Residence,2012-08-03,,Harvard,MA,1451,-5:00,42.5,-71.5833,Dean,6.84
1541,Olejarz,2012-08-06,,Harvard,MA,1467,-5:00,42.4923,-71.6173,Olejarz,
1546,Nigzus-Triantaris Residence,2012-08-07,,Harvard,MA,1451,-5:00,42.5,-71.5833,Nigzus_Triantaris,4.56
1552,Dyer Residence,2012-08-08,,Harvard,MA,1451,-5:00,42.5,-71.5833,Dyer,4.07
1553,O'Shea,2012-08-08,357 Old Littleton Road,Harvard,MA,1467,-5:00,42.5303,-71.5394,O_Shea,6.46
1556,Drumheller - Shop House,2012-08-30,600 E. Glenn Rd.,Princeton,CA,95970,-8:00,42.714,-71.1656,,
1557,Drumheller - Shop Pump,2012-08-30,600 E. Glenn Rd.,Princeton,CA,95970,-8:00,42.714,-71.1656,,
1562,Saw-Tech / JKM Industries,2014-05-13,11 Glenn St.,Lawrence,MA,1843,-5:00,42.6835799,-71.1774819,,
1563,United Salvage (Framingham Salvage Co.),2012-11-12,721 Waverly St.,Framingham,MA,1702,-5:00,42.279263,-71.416172,United,800.03
1564,Borges - Hospital,2014-12-08,8350 Brady Rd.,Manteca,CA,95337,-8:00,42.707035,-71.16311400000001,Borges,
1576,Chalifoux Residence,2012-09-04,,Harvard,MA,,-5:00,42.5,-71.5833,Chalifoux,3.04
1603,Willard Elementary School,2012-09-24,185 Powder Mill Rd.,Concord,MA,1742,-5:00,42.4603,-71.3494,Willard,48.4
1606,Weiss Residence,2012-09-25,,Harvard,MA,1451,-5:00,42.5,-71.5833,Weiss,6.84
1609,MLH 2,2012-09-28,2650 N.E. 53rd Ave.,Gainesville,FL,32609,-5:00,29.6516,-82.3248,,
1617,S-DLE Sun Farm,2012-10-17,10900 Euclid Ave,Cleveland,OH,44106,-5:00,41.5073,-81.607,S_DLE,1.88
1623,MLH 1,2012-10-05,2650 N.E. 53rd Ave.,Gainesville,FL,32609,-5:00,29.6516,-82.3248,MLH,
1630,Southard Residence,2012-10-17,,Tewksbury,MA,1876,-5:00,42.3762,-71.1158,Southard,5.32
1635,Haines Residence,2012-10-01,,Ashby,MA,,-5:00,42.6778,-71.8208,Haines,8.64
1636,Liu Residence - Acton,2012-10-26,,Acton,MA,,-5:00,42.485,-71.4333,Liu,7.5
1643,Menin Residence,2012-10-24,,Sterling,MA,,-5:00,42.4374,-71.7606,Menin,5.76
1644,Ritter Residence,2012-10-24,,Bolton,MA,,-5:00,42.4334,-71.6078,Ritter,
1661,Hoffman Residence,2012-12-04,,Harvard,MA,1451,-5:00,42.5,-71.5833,Hoffman,5.7
1662,Ed Dufresne,2012-11-28,,Lunenburg,MA,1462,-5:00,42.5945,-71.7245,Ed,5.0
1663,Gutfreund Residence,2012-11-09,,Acton,MA,1720,-5:00,42.485,-71.4333,Gutfreund,5.0
1664,Nickerson Residence,2012-11-09,,Harvard,MA,1451,-5:00,42.5,-71.5833,Nickerson,9.99
1665,Kleinschmidt Residence,2012-11-09,,Acton,MA,1720,-5:00,42.485,-71.4333,Kleinschmidt,3.92
1683,Fay Residence,2012-11-20,,Harvard,MA,1451,-5:00,42.5,-71.5833,Fay,5.13
